target_id	gene_name	qval	log2fc	final_annotation	final_annotation.y	direction	Mouse Ensembl	Human Ensembl
ENSMUSG00000098426	Gm27149	5.21e-07	-10.56814069	other	other	Downregulated		
ENSMUSG00000083405	Gm15725	0.014280483	-6.747439346	other	other	Downregulated		
ENSMUSG00000022026	Olfm4	3.04e-09	-6.66740028	protein_coding	protein_coding	Downregulated	ENSMUSG00000022026	ENSG00000102837
MSTRG.15131	MSTRG.15131	8.19e-16	-6.635372713	potential_novel_lncRNA	potential_novel_lncRNA	Downregulated		
MSTRG.20304	MSTRG.20304	3.13e-27	-6.500080711	potential_novel_lncRNA	potential_novel_lncRNA	Downregulated		
ENSMUSG00000073764	Gm12888	6.15e-05	-6.220345827	protein_coding	protein_coding	Downregulated		
mmu-miR-3103-3p	mmu-miR-3103-3p	0.00038199999999999996	-5.914676882999999	miRNA		Downregulated		
MSTRG.44632	MSTRG.44632	3.3e-20	-5.54815959	potential_novel_lncRNA	potential_novel_lncRNA	Downregulated		
mmu-miR-15a-3p	mmu-miR-15a-3p	0.0181	-5.268580695	miRNA		Downregulated		
ENSMUSG00000107992	Gm44223	3.75e-09	-5.259408882	other	other	Downregulated		
ENSMUSG00000034164	Emid1	8.21e-07	-5.143766489	protein_coding	protein_coding	Downregulated	ENSMUSG00000034164	ENSG00000186998
mmu-miR-1291	mmu-miR-1291	0.0174	-5.132926914	miRNA		Downregulated		
ENSMUSG00000031257	Nox1	2.65e-07	-4.875333779	protein_coding	protein_coding	Downregulated	ENSMUSG00000031257	ENSG00000007952
ENSMUSG00000067818	Myl9	0.000695377	-4.602345526000001	protein_coding	protein_coding	Downregulated	ENSMUSG00000067818	ENSG00000101335
ENSMUSG00000030048	Gkn3	5.6900000000000007e-08	-4.4155930539999995	protein_coding	protein_coding	Downregulated	ENSMUSG00000030048	-
MSTRG.23049	MSTRG.23049	8.02e-05	-4.084947101	potential_novel_lncRNA	potential_novel_lncRNA	Downregulated		
ENSMUSG00000041293	Adgrf1	4.8899999999999996e-05	-3.993275976	protein_coding	protein_coding	Downregulated	ENSMUSG00000041293	ENSG00000153292
ENSMUSG00000020140	Lgr5	4.0499999999999996e-11	-3.991315003	protein_coding	protein_coding	Downregulated	ENSMUSG00000020140	ENSG00000139292
ENSMUSG00000099009	Gm28046	0.041268238	-3.950262562	protein_coding	protein_coding	Downregulated		
ENSMUSG00000032292	Nr2e3	4.64e-09	-3.928621679	protein_coding	protein_coding	Downregulated	ENSMUSG00000032292	ENSG00000278570
MSTRG.9072	MSTRG.9072	1.67e-05	-3.805023435	potential_novel_lncRNA	potential_novel_lncRNA	Downregulated		
