target_id	gene_name	qval	log2fc	final_annotation	final_annotation.y	direction
ENSMUSG00000098426	Gm27149	5.21E-07	-10.56814069	other	other	Downregulated
ENSMUSG00000083405	Gm15725	0.014280483	-6.747439346	other	other	Downregulated
ENSMUSG00000022026	Olfm4	3.04E-09	-6.66740028	protein_coding	protein_coding	Downregulated
MSTRG.15131	MSTRG.15131	8.19E-16	-6.635372713	potential_novel_lncRNA	potential_novel_lncRNA	Downregulated
MSTRG.20304	MSTRG.20304	3.13E-27	-6.500080711	potential_novel_lncRNA	potential_novel_lncRNA	Downregulated
ENSMUSG00000073764	Gm12888	6.15E-05	-6.220345827	protein_coding	protein_coding	Downregulated
mmu-miR-3103-3p	mmu-miR-3103-3p	0.000382	-5.914676883	miRNA	NA	Downregulated
MSTRG.44632	MSTRG.44632	3.30E-20	-5.54815959	potential_novel_lncRNA	potential_novel_lncRNA	Downregulated
mmu-miR-15a-3p	mmu-miR-15a-3p	0.0181	-5.268580695	miRNA	NA	Downregulated
ENSMUSG00000107992	Gm44223	3.75E-09	-5.259408882	other	other	Downregulated
ENSMUSG00000034164	Emid1	8.21E-07	-5.143766489	protein_coding	protein_coding	Downregulated
mmu-miR-1291	mmu-miR-1291	0.0174	-5.132926914	miRNA	NA	Downregulated
ENSMUSG00000031257	Nox1	2.65E-07	-4.875333779	protein_coding	protein_coding	Downregulated
ENSMUSG00000067818	Myl9	0.000695377	-4.602345526	protein_coding	protein_coding	Downregulated
ENSMUSG00000030048	Gkn3	5.69E-08	-4.415593054	protein_coding	protein_coding	Downregulated
MSTRG.23049	MSTRG.23049	8.02E-05	-4.084947101	potential_novel_lncRNA	potential_novel_lncRNA	Downregulated
ENSMUSG00000041293	Adgrf1	4.89E-05	-3.993275976	protein_coding	protein_coding	Downregulated
ENSMUSG00000020140	Lgr5	4.05E-11	-3.991315003	protein_coding	protein_coding	Downregulated
ENSMUSG00000099009	Gm28046	0.041268238	-3.950262562	protein_coding	protein_coding	Downregulated
ENSMUSG00000032292	Nr2e3	4.64E-09	-3.928621679	protein_coding	protein_coding	Downregulated
MSTRG.9072	MSTRG.9072	1.67E-05	-3.805023435	potential_novel_lncRNA	potential_novel_lncRNA	Downregulated
ENSMUSG00000023336	Wfdc1	0.01785155	-3.784531594	protein_coding	protein_coding	Downregulated
ENSMUSG00000036422	Pcdh8	0.010132606	-3.780965764	protein_coding	protein_coding	Downregulated
ENSMUSG00000000416	Cttnbp2	5.06E-09	-3.672425156	protein_coding	protein_coding	Downregulated
ENSMUSG00000026322	Htr4	6.01E-05	-3.5784277	protein_coding	protein_coding	Downregulated
