miRNA	logFC	logCPM	PValue	FDR
mmu-miR-7a-2-3p	3.694774317	5.24350001	6.08E-24	4.20E-21
mmu-miR-1224-5p	4.01689398	5.23410898	2.47E-22	8.53E-20
mmu-miR-139-5p	3.368271716	6.99216208	1.38E-21	3.18E-19
mmu-miR-541-5p	3.83768103	5.43556713	3.27E-19	5.64E-17
mmu-miR-7b-5p	3.357569581	4.74378319	3.38E-18	4.67E-16
mmu-miR-184-3p	3.731870391	3.42817203	2.83E-17	3.25E-15
mmu-miR-127-3p	3.253530109	7.39836107	5.05E-13	4.98E-11
mmu-miR-375-3p	2.371875845	16.21406708	1.23E-10	1.06E-08
mmu-miR-574-3p	2.170617433	6.20738281	2.75E-10	2.11E-08
mmu-miR-134-5p	7.016913704	1.25925195	8.39E-10	5.79E-08
mmu-miR-7a-5p	1.908695348	6.62046078	1.10E-09	6.87E-08
mmu-miR-375-5p	2.784881549	3.36969772	6.36E-09	3.66E-07
mmu-miR-409-3p	3.227816596	2.2363356	8.07E-09	4.28E-07
mmu-miR-434-5p	6.850151109	1.13042334	9.03E-09	4.45E-07
mmu-miR-434-3p	2.779507193	4.14655222	2.63E-08	1.14E-06
mmu-miR-1945	6.805326812	1.0966856	2.65E-08	1.14E-06
mmu-miR-152-3p	2.138712795	4.06809112	3.93E-08	1.59E-06
mmu-miR-153-3p	2.842631191	3.05977582	5.36E-08	2.05E-06
mmu-miR-410-3p	6.632572829	0.97741297	1.93E-07	7.02E-06
mmu-miR-411-5p	3.070490884	2.55640329	2.99E-07	1.03E-05
mmu-miR-218-5p	-2.004057682	5.00487271	9.71E-07	3.19E-05
mmu-miR-700-3p	1.789920153	3.96748836	2.88E-06	9.04E-05
mmu-miR-6969-3p	2.119268363	2.76408976	5.38E-06	1.61E-04
mmu-miR-3103-3p	-5.914676883	0.59065861	1.33E-05	3.82E-04
mmu-miR-497a-5p	1.512004109	4.17080572	4.96E-05	1.36E-03
mmu-let-7e-5p	1.321526997	7.93026091	5.13E-05	1.36E-03
mmu-miR-152-5p	1.647374302	3.39766318	6.73E-05	1.72E-03
mmu-miR-222-5p	-1.825775609	2.45273619	7.89E-05	1.92E-03
mmu-miR-3547-3p	5.80808808	0.39571111	8.07E-05	1.92E-03
mmu-miR-350-5p	2.422629026	1.75929385	9.50E-05	2.18E-03
mmu-miR-195a-5p	1.72039658	3.68483434	1.23E-04	2.75E-03
mmu-miR-212-3p	2.174297364	1.68841479	1.67E-04	3.61E-03
mmu-miR-139-3p	2.841641444	1.02038268	1.73E-04	3.61E-03
mmu-miR-3535	-1.745903175	5.44125684	2.12E-04	4.29E-03
mmu-miR-7b-3p	5.7733785	0.38785059	2.52E-04	4.97E-03
mmu-miR-210-5p	-1.6857549	7.72066408	4.09E-04	7.84E-03
mmu-miR-676-3p	1.330297774	4.09959487	4.24E-04	7.90E-03
mmu-miR-222-3p	-1.087287529	7.16628917	5.20E-04	9.45E-03
mmu-miR-1224-3p	2.842071216	0.69352828	5.67E-04	1.00E-02
mmu-miR-449c-5p	-1.481983143	3.61308558	8.62E-04	1.45E-02
mmu-miR-130a-3p	-1.004474012	7.41495557	8.64E-04	1.45E-02
mmu-miR-677-5p	-1.445613614	3.37805939	9.68E-04	1.57E-02
mmu-miR-187-3p	1.393243812	3.54171711	9.80E-04	1.57E-02
mmu-miR-20a-5p	-0.967106397	8.19520545	1.02E-03	1.59E-02
mmu-miR-1291	-5.132926914	0.11044219	1.14E-03	1.74E-02
mmu-miR-15a-3p	-5.268580695	0.17556655	1.21E-03	1.81E-02
mmu-miR-700-5p	1.382913421	4.15923852	1.36E-03	2.00E-02
mmu-miR-210-3p	-1.374460805	9.79407339	1.49E-03	2.14E-02
mmu-miR-598-3p	1.327750818	2.67643831	1.90E-03	2.68E-02
mmu-miR-125b-1-3p	5.253396868	0.04559459	2.19E-03	3.03E-02
mmu-miR-147-3p	-1.660408813	4.75922844	2.25E-03	3.05E-02
mmu-miR-212-5p	2.03119018	1.2795261	2.56E-03	3.40E-02
mmu-miR-195a-3p	2.497720371	0.7790666	2.90E-03	3.77E-02
mmu-miR-101a-3p	1.029513983	7.51326884	3.04E-03	3.86E-02
mmu-miR-101c	1.029510079	7.51326884	3.08E-03	3.86E-02
mmu-miR-92a-1-5p	-0.991199938	8.7031729	3.26E-03	4.02E-02
mmu-miR-540-3p	5.058722551	-0.03729919	3.64E-03	4.41E-02
mmu-miR-125a-5p	1.045331718	9.5915822	3.84E-03	4.49E-02
mmu-miR-6539	-0.926382874	5.14334173	3.84E-03	4.49E-02
mmu-miR-221-5p	-1.387066094	4.32195877	4.05E-03	4.64E-02
mmu-miR-15b-3p	-0.953039328	5.33788322	4.10E-03	4.64E-02
mmu-miR-3105-3p	-1.191093188	3.20435416	4.44E-03	4.95E-02
mmu-miR-879-5p	2.55698907	0.61351198	5.08E-03	5.55E-02
mmu-miR-125a-3p	1.334253203	3.01002969	5.17E-03	5.55E-02
mmu-miR-137-3p	2.447156231	0.56982835	5.23E-03	5.55E-02
