source	target	interactiontype
ENSMUSG00000010175	ENSMUSG00000029275	TF-TG
ENSMUSG00000017146	ENSMUSG00000027323	TF-TG
ENSMUSG00000017146	ENSMUSG00000041147	TF-TG
ENSMUSG00000017861	ENSMUSG00000027793	TF-TG
ENSMUSG00000018899	ENSMUSG00000039236	TF-TG
ENSMUSG00000022346	ENSMUSG00000027381	TF-TG
ENSMUSG00000022346	ENSMUSG00000027490	TF-TG
ENSMUSG00000022479	ENSMUSG00000029727	TF-TG
ENSMUSG00000022479	ENSMUSG00000030483	TF-TG
ENSMUSG00000024431	ENSMUSG00000003814	TF-TG
ENSMUSG00000024431	ENSMUSG00000035864	TF-TG
ENSMUSG00000026565	ENSMUSG00000024590	TF-TG
ENSMUSG00000026923	ENSMUSG00000027314	TF-TG
ENSMUSG00000026923	ENSMUSG00000048001	TF-TG
ENSMUSG00000026923	ENSMUSG00000070348	TF-TG
ENSMUSG00000027490	ENSMUSG00000002109	TF-TG
ENSMUSG00000027490	ENSMUSG00000006398	TF-TG
ENSMUSG00000027490	ENSMUSG00000006678	TF-TG
ENSMUSG00000027490	ENSMUSG00000017499	TF-TG
ENSMUSG00000027490	ENSMUSG00000017861	TF-TG
ENSMUSG00000027490	ENSMUSG00000019942	TF-TG
ENSMUSG00000027490	ENSMUSG00000022346	TF-TG
ENSMUSG00000027490	ENSMUSG00000027342	TF-TG
ENSMUSG00000027490	ENSMUSG00000027602	TF-TG
ENSMUSG00000027490	ENSMUSG00000027641	TF-TG
ENSMUSG00000027490	ENSMUSG00000027715	TF-TG
ENSMUSG00000027490	ENSMUSG00000028884	TF-TG
ENSMUSG00000027490	ENSMUSG00000029521	TF-TG
ENSMUSG00000027490	ENSMUSG00000032380	TF-TG
ENSMUSG00000027490	ENSMUSG00000041431	TF-TG
ENSMUSG00000027490	ENSMUSG00000054115	TF-TG
ENSMUSG00000027641	ENSMUSG00000017861	TF-TG
ENSMUSG00000027641	ENSMUSG00000022346	TF-TG
ENSMUSG00000034771	ENSMUSG00000022528	TF-TG
ENSMUSG00000035158	ENSMUSG00000027168	TF-TG
