EnsemblID	type
ENSG00000001460	ciseqtl
ENSG00000001561	ciseqtl
ENSG00000002919	ciseqtl
ENSG00000002933	ciseqtl
ENSG00000003147	ciseqtl
ENSG00000003249	ciseqtl
ENSG00000003402	ciseqtl
ENSG00000004975	ciseqtl
ENSG00000005073	ciseqtl
ENSG00000005421	ciseqtl
ENSG00000005469	ciseqtl
ENSG00000005884	ciseqtl
ENSG00000006007	ciseqtl
ENSG00000006016	ciseqtl
ENSG00000006118	ciseqtl
ENSG00000006282	ciseqtl
ENSG00000006432	ciseqtl
ENSG00000006453	ciseqtl
ENSG00000006652	ciseqtl
ENSG00000006715	ciseqtl
ENSG00000006744	ciseqtl
ENSG00000006747	ciseqtl
ENSG00000007341	ciseqtl
ENSG00000007923	ciseqtl
ENSG00000007933	ciseqtl
ENSG00000007944	ciseqtl
ENSG00000008277	ciseqtl
ENSG00000008438	ciseqtl
ENSG00000009844	ciseqtl
ENSG00000010030	ciseqtl
ENSG00000010626	ciseqtl
ENSG00000010818	ciseqtl
ENSG00000011114	ciseqtl
ENSG00000011275	ciseqtl
ENSG00000011405	ciseqtl
ENSG00000011523	ciseqtl
ENSG00000013374	ciseqtl
ENSG00000013523	ciseqtl
ENSG00000013573	ciseqtl
ENSG00000014164	ciseqtl
ENSG00000014824	ciseqtl
ENSG00000015475	ciseqtl
ENSG00000016391	ciseqtl
ENSG00000018189	ciseqtl
ENSG00000018510	ciseqtl
ENSG00000018699	ciseqtl
ENSG00000020922	ciseqtl
ENSG00000021826	ciseqtl
ENSG00000022840	ciseqtl
ENSG00000023697	ciseqtl
ENSG00000023909	ciseqtl
ENSG00000024048	ciseqtl
ENSG00000025770	ciseqtl
ENSG00000026950	ciseqtl
ENSG00000029639	ciseqtl
ENSG00000031691	ciseqtl
ENSG00000031698	ciseqtl
ENSG00000033050	ciseqtl
ENSG00000033178	ciseqtl
ENSG00000033800	ciseqtl
ENSG00000035115	ciseqtl
ENSG00000035664	ciseqtl
ENSG00000036448	ciseqtl
ENSG00000037474	ciseqtl
ENSG00000038002	ciseqtl
ENSG00000038219	ciseqtl
ENSG00000040199	ciseqtl
ENSG00000040531	ciseqtl
ENSG00000042286	ciseqtl
ENSG00000042445	ciseqtl
ENSG00000044090	ciseqtl
ENSG00000044459	ciseqtl
ENSG00000047188	ciseqtl
ENSG00000047579	ciseqtl
ENSG00000047621	ciseqtl
ENSG00000048544	ciseqtl
ENSG00000048649	ciseqtl
ENSG00000048740	ciseqtl
ENSG00000048828	ciseqtl
ENSG00000049167	ciseqtl
ENSG00000049239	ciseqtl
ENSG00000049247	ciseqtl
ENSG00000049323	ciseqtl
ENSG00000049759	ciseqtl
ENSG00000050820	ciseqtl
ENSG00000051341	ciseqtl
ENSG00000051825	ciseqtl
ENSG00000053254	ciseqtl
ENSG00000054219	ciseqtl
ENSG00000054523	ciseqtl
ENSG00000054793	ciseqtl
ENSG00000054938	ciseqtl
ENSG00000054983	ciseqtl
ENSG00000055483	ciseqtl
ENSG00000055955	ciseqtl
ENSG00000057608	ciseqtl
ENSG00000058085	ciseqtl
ENSG00000060140	ciseqtl
ENSG00000061656	ciseqtl
ENSG00000062370	ciseqtl
ENSG00000063176	ciseqtl
ENSG00000064115	ciseqtl
ENSG00000064652	ciseqtl
ENSG00000064726	ciseqtl
ENSG00000064933	ciseqtl
ENSG00000064961	ciseqtl
ENSG00000065000	ciseqtl
ENSG00000065060	ciseqtl
ENSG00000065150	ciseqtl
ENSG00000065308	ciseqtl
ENSG00000065371	ciseqtl
ENSG00000065665	ciseqtl
ENSG00000066185	ciseqtl
ENSG00000066427	ciseqtl
ENSG00000067221	ciseqtl
ENSG00000068097	ciseqtl
ENSG00000068724	ciseqtl
ENSG00000068912	ciseqtl
ENSG00000069493	ciseqtl
ENSG00000069667	ciseqtl
ENSG00000069974	ciseqtl
ENSG00000070019	ciseqtl
ENSG00000070214	ciseqtl
ENSG00000070371	ciseqtl
ENSG00000070423	ciseqtl
ENSG00000070614	ciseqtl
ENSG00000070718	ciseqtl
ENSG00000071082	ciseqtl
ENSG00000071127	ciseqtl
ENSG00000071189	ciseqtl
ENSG00000071203	ciseqtl
ENSG00000071246	ciseqtl
ENSG00000071894	ciseqtl
ENSG00000071994	ciseqtl
ENSG00000072135	ciseqtl
ENSG00000072364	ciseqtl
ENSG00000072609	ciseqtl
ENSG00000072756	ciseqtl
ENSG00000072832	ciseqtl
ENSG00000072858	ciseqtl
ENSG00000072952	ciseqtl
ENSG00000073331	ciseqtl
ENSG00000073578	ciseqtl
ENSG00000073605	ciseqtl
ENSG00000073614	ciseqtl
ENSG00000074695	ciseqtl
ENSG00000075073	ciseqtl
ENSG00000075234	ciseqtl
ENSG00000075275	ciseqtl
ENSG00000075420	ciseqtl
ENSG00000075426	ciseqtl
ENSG00000075643	ciseqtl
ENSG00000075651	ciseqtl
ENSG00000075790	ciseqtl
ENSG00000075826	ciseqtl
ENSG00000075914	ciseqtl
ENSG00000076356	ciseqtl
ENSG00000076555	ciseqtl
ENSG00000076604	ciseqtl
ENSG00000076944	ciseqtl
ENSG00000077157	ciseqtl
ENSG00000077232	ciseqtl
ENSG00000077458	ciseqtl
ENSG00000077549	ciseqtl
ENSG00000077942	ciseqtl
ENSG00000078124	ciseqtl
ENSG00000078177	ciseqtl
ENSG00000078328	ciseqtl
ENSG00000078808	ciseqtl
ENSG00000079308	ciseqtl
ENSG00000079691	ciseqtl
ENSG00000080007	ciseqtl
ENSG00000080293	ciseqtl
ENSG00000080345	ciseqtl
ENSG00000080822	ciseqtl
ENSG00000080845	ciseqtl
ENSG00000081087	ciseqtl
ENSG00000081320	ciseqtl
ENSG00000082014	ciseqtl
ENSG00000082196	ciseqtl
ENSG00000083099	ciseqtl
ENSG00000083223	ciseqtl
ENSG00000083799	ciseqtl
ENSG00000083828	ciseqtl
ENSG00000083896	ciseqtl
ENSG00000084093	ciseqtl
ENSG00000084463	ciseqtl
ENSG00000084733	ciseqtl
ENSG00000085276	ciseqtl
ENSG00000085377	ciseqtl
ENSG00000085465	ciseqtl
ENSG00000085511	ciseqtl
ENSG00000085721	ciseqtl
ENSG00000085733	ciseqtl
ENSG00000085982	ciseqtl
ENSG00000086232	ciseqtl
ENSG00000086544	ciseqtl
ENSG00000087008	ciseqtl
ENSG00000087077	ciseqtl
ENSG00000087253	ciseqtl
ENSG00000087258	ciseqtl
ENSG00000087460	ciseqtl
ENSG00000088387	ciseqtl
ENSG00000088766	ciseqtl
ENSG00000088833	ciseqtl
ENSG00000089006	ciseqtl
ENSG00000089335	ciseqtl
ENSG00000089356	ciseqtl
ENSG00000089876	ciseqtl
ENSG00000089916	ciseqtl
ENSG00000090054	ciseqtl
ENSG00000090382	ciseqtl
ENSG00000090863	ciseqtl
ENSG00000091039	ciseqtl
ENSG00000091140	ciseqtl
ENSG00000091513	ciseqtl
ENSG00000091640	ciseqtl
ENSG00000092009	ciseqtl
ENSG00000092758	ciseqtl
ENSG00000092820	ciseqtl
ENSG00000092978	ciseqtl
ENSG00000093000	ciseqtl
ENSG00000093144	ciseqtl
ENSG00000094975	ciseqtl
ENSG00000095209	ciseqtl
ENSG00000095303	ciseqtl
ENSG00000095380	ciseqtl
ENSG00000099282	ciseqtl
ENSG00000099330	ciseqtl
ENSG00000099331	ciseqtl
ENSG00000099338	ciseqtl
ENSG00000099783	ciseqtl
ENSG00000099940	ciseqtl
ENSG00000099958	ciseqtl
ENSG00000099960	ciseqtl
ENSG00000099977	ciseqtl
ENSG00000099984	ciseqtl
ENSG00000100036	ciseqtl
ENSG00000100053	ciseqtl
ENSG00000100058	ciseqtl
ENSG00000100104	ciseqtl
ENSG00000100191	ciseqtl
ENSG00000100196	ciseqtl
ENSG00000100197	ciseqtl
ENSG00000100201	ciseqtl
ENSG00000100225	ciseqtl
ENSG00000100241	ciseqtl
ENSG00000100299	ciseqtl
ENSG00000100330	ciseqtl
ENSG00000100354	ciseqtl
ENSG00000100373	ciseqtl
ENSG00000100410	ciseqtl
ENSG00000100425	ciseqtl
ENSG00000100433	ciseqtl
ENSG00000100505	ciseqtl
ENSG00000100554	ciseqtl
ENSG00000100568	ciseqtl
ENSG00000100583	ciseqtl
ENSG00000100612	ciseqtl
ENSG00000100664	ciseqtl
ENSG00000100731	ciseqtl
ENSG00000100811	ciseqtl
ENSG00000100815	ciseqtl
ENSG00000100997	ciseqtl
ENSG00000101049	ciseqtl
ENSG00000101161	ciseqtl
ENSG00000101194	ciseqtl
ENSG00000101307	ciseqtl
ENSG00000101311	ciseqtl
ENSG00000101353	ciseqtl
ENSG00000101425	ciseqtl
ENSG00000101608	ciseqtl
ENSG00000101639	ciseqtl
ENSG00000101751	ciseqtl
ENSG00000101752	ciseqtl
ENSG00000101782	ciseqtl
ENSG00000102524	ciseqtl
ENSG00000102554	ciseqtl
ENSG00000102606	ciseqtl
ENSG00000102753	ciseqtl
ENSG00000102760	ciseqtl
ENSG00000102796	ciseqtl
ENSG00000102934	ciseqtl
ENSG00000103021	ciseqtl
ENSG00000103248	ciseqtl
ENSG00000103275	ciseqtl
ENSG00000103316	ciseqtl
ENSG00000103335	ciseqtl
ENSG00000103343	ciseqtl
ENSG00000103351	ciseqtl
ENSG00000103404	ciseqtl
ENSG00000103479	ciseqtl
ENSG00000103496	ciseqtl
ENSG00000103966	ciseqtl
ENSG00000103994	ciseqtl
ENSG00000104147	ciseqtl
ENSG00000104219	ciseqtl
ENSG00000104231	ciseqtl
ENSG00000104331	ciseqtl
ENSG00000104427	ciseqtl
ENSG00000104442	ciseqtl
ENSG00000104497	ciseqtl
ENSG00000104537	ciseqtl
ENSG00000104613	ciseqtl
ENSG00000104643	ciseqtl
ENSG00000104687	ciseqtl
ENSG00000104689	ciseqtl
ENSG00000104714	ciseqtl
ENSG00000104723	ciseqtl
ENSG00000104728	ciseqtl
ENSG00000104731	ciseqtl
ENSG00000104763	ciseqtl
ENSG00000104805	ciseqtl
ENSG00000104974	ciseqtl
ENSG00000104979	ciseqtl
ENSG00000104980	ciseqtl
ENSG00000105072	ciseqtl
ENSG00000105146	ciseqtl
ENSG00000105193	ciseqtl
ENSG00000105246	ciseqtl
ENSG00000105339	ciseqtl
ENSG00000105483	ciseqtl
ENSG00000105618	ciseqtl
ENSG00000105671	ciseqtl
ENSG00000105705	ciseqtl
ENSG00000105738	ciseqtl
ENSG00000105750	ciseqtl
ENSG00000105778	ciseqtl
ENSG00000105852	ciseqtl
ENSG00000105953	ciseqtl
ENSG00000106004	ciseqtl
ENSG00000106034	ciseqtl
ENSG00000106069	ciseqtl
ENSG00000106100	ciseqtl
ENSG00000106258	ciseqtl
ENSG00000106290	ciseqtl
ENSG00000106367	ciseqtl
ENSG00000106392	ciseqtl
ENSG00000106477	ciseqtl
ENSG00000106511	ciseqtl
ENSG00000106526	ciseqtl
ENSG00000106608	ciseqtl
ENSG00000106610	ciseqtl
ENSG00000106638	ciseqtl
ENSG00000106686	ciseqtl
ENSG00000106688	ciseqtl
ENSG00000106692	ciseqtl
ENSG00000106733	ciseqtl
ENSG00000106799	ciseqtl
ENSG00000106803	ciseqtl
ENSG00000106823	ciseqtl
ENSG00000106853	ciseqtl
ENSG00000106992	ciseqtl
ENSG00000107020	ciseqtl
ENSG00000107290	ciseqtl
ENSG00000107521	ciseqtl
ENSG00000107611	ciseqtl
ENSG00000107625	ciseqtl
ENSG00000107719	ciseqtl
ENSG00000107816	ciseqtl
ENSG00000107937	ciseqtl
ENSG00000107949	ciseqtl
ENSG00000108094	ciseqtl
ENSG00000108107	ciseqtl
ENSG00000108219	ciseqtl
ENSG00000108256	ciseqtl
ENSG00000108306	ciseqtl
ENSG00000108309	ciseqtl
ENSG00000108384	ciseqtl
ENSG00000108395	ciseqtl
ENSG00000108433	ciseqtl
ENSG00000108590	ciseqtl
ENSG00000108666	ciseqtl
ENSG00000108771	ciseqtl
ENSG00000108848	ciseqtl
ENSG00000109046	ciseqtl
ENSG00000109163	ciseqtl
ENSG00000109270	ciseqtl
ENSG00000109272	ciseqtl
ENSG00000109323	ciseqtl
ENSG00000109381	ciseqtl
ENSG00000109390	ciseqtl
ENSG00000109458	ciseqtl
ENSG00000109572	ciseqtl
ENSG00000109586	ciseqtl
ENSG00000109674	ciseqtl
ENSG00000109689	ciseqtl
ENSG00000109743	ciseqtl
ENSG00000109775	ciseqtl
ENSG00000109787	ciseqtl
ENSG00000109790	ciseqtl
ENSG00000109794	ciseqtl
ENSG00000109906	ciseqtl
ENSG00000109943	ciseqtl
ENSG00000110002	ciseqtl
ENSG00000110074	ciseqtl
ENSG00000110077	ciseqtl
ENSG00000110080	ciseqtl
ENSG00000110090	ciseqtl
ENSG00000110367	ciseqtl
ENSG00000110429	ciseqtl
ENSG00000110455	ciseqtl
ENSG00000110660	ciseqtl
ENSG00000110723	ciseqtl
ENSG00000110768	ciseqtl
ENSG00000110786	ciseqtl
ENSG00000110801	ciseqtl
ENSG00000111181	ciseqtl
ENSG00000111215	ciseqtl
ENSG00000111254	ciseqtl
ENSG00000111364	ciseqtl
ENSG00000111371	ciseqtl
ENSG00000111445	ciseqtl
ENSG00000111450	ciseqtl
ENSG00000111536	ciseqtl
ENSG00000111605	ciseqtl
ENSG00000111666	ciseqtl
ENSG00000111671	ciseqtl
ENSG00000111676	ciseqtl
ENSG00000111696	ciseqtl
ENSG00000111790	ciseqtl
ENSG00000111816	ciseqtl
ENSG00000111859	ciseqtl
ENSG00000111877	ciseqtl
ENSG00000111906	ciseqtl
ENSG00000112116	ciseqtl
ENSG00000112146	ciseqtl
ENSG00000112149	ciseqtl
ENSG00000112167	ciseqtl
ENSG00000112186	ciseqtl
ENSG00000112293	ciseqtl
ENSG00000112299	ciseqtl
ENSG00000112303	ciseqtl
ENSG00000112305	ciseqtl
ENSG00000112339	ciseqtl
ENSG00000112357	ciseqtl
ENSG00000112365	ciseqtl
ENSG00000112419	ciseqtl
ENSG00000112531	ciseqtl
ENSG00000112584	ciseqtl
ENSG00000112787	ciseqtl
ENSG00000112799	ciseqtl
ENSG00000112874	ciseqtl
ENSG00000112893	ciseqtl
ENSG00000113231	ciseqtl
ENSG00000113240	ciseqtl
ENSG00000113249	ciseqtl
ENSG00000113269	ciseqtl
ENSG00000113300	ciseqtl
ENSG00000113361	ciseqtl
ENSG00000113441	ciseqtl
ENSG00000113532	ciseqtl
ENSG00000113558	ciseqtl
ENSG00000113593	ciseqtl
ENSG00000113597	ciseqtl
ENSG00000113621	ciseqtl
ENSG00000113638	ciseqtl
ENSG00000113851	ciseqtl
ENSG00000113971	ciseqtl
ENSG00000114026	ciseqtl
ENSG00000114030	ciseqtl
ENSG00000114107	ciseqtl
ENSG00000114354	ciseqtl
ENSG00000114439	ciseqtl
ENSG00000114473	ciseqtl
ENSG00000114544	ciseqtl
ENSG00000114638	ciseqtl
ENSG00000114670	ciseqtl
ENSG00000114738	ciseqtl
ENSG00000114742	ciseqtl
ENSG00000114770	ciseqtl
ENSG00000114850	ciseqtl
ENSG00000114904	ciseqtl
ENSG00000115084	ciseqtl
ENSG00000115107	ciseqtl
ENSG00000115290	ciseqtl
ENSG00000115306	ciseqtl
ENSG00000115350	ciseqtl
ENSG00000115353	ciseqtl
ENSG00000115355	ciseqtl
ENSG00000115364	ciseqtl
ENSG00000115365	ciseqtl
ENSG00000115464	ciseqtl
ENSG00000115561	ciseqtl
ENSG00000115685	ciseqtl
ENSG00000115687	ciseqtl
ENSG00000115718	ciseqtl
ENSG00000115761	ciseqtl
ENSG00000115808	ciseqtl
ENSG00000115866	ciseqtl
ENSG00000115902	ciseqtl
ENSG00000115919	ciseqtl
ENSG00000115947	ciseqtl
ENSG00000115956	ciseqtl
ENSG00000115966	ciseqtl
ENSG00000115970	ciseqtl
ENSG00000116151	ciseqtl
ENSG00000116157	ciseqtl
ENSG00000116194	ciseqtl
ENSG00000116237	ciseqtl
ENSG00000116641	ciseqtl
ENSG00000116754	ciseqtl
ENSG00000116791	ciseqtl
ENSG00000116793	ciseqtl
ENSG00000116857	ciseqtl
ENSG00000116977	ciseqtl
ENSG00000116991	ciseqtl
ENSG00000117133	ciseqtl
ENSG00000117155	ciseqtl
ENSG00000117174	ciseqtl
ENSG00000117226	ciseqtl
ENSG00000117262	ciseqtl
ENSG00000117266	ciseqtl
ENSG00000117280	ciseqtl
ENSG00000117362	ciseqtl
ENSG00000117394	ciseqtl
ENSG00000117481	ciseqtl
ENSG00000117519	ciseqtl
ENSG00000117533	ciseqtl
ENSG00000117691	ciseqtl
ENSG00000117834	ciseqtl
ENSG00000118004	ciseqtl
ENSG00000118094	ciseqtl
ENSG00000118197	ciseqtl
ENSG00000118217	ciseqtl
ENSG00000118514	ciseqtl
ENSG00000118526	ciseqtl
ENSG00000118557	ciseqtl
ENSG00000118564	ciseqtl
ENSG00000118579	ciseqtl
ENSG00000118640	ciseqtl
ENSG00000118777	ciseqtl
ENSG00000118849	ciseqtl
ENSG00000118997	ciseqtl
ENSG00000119227	ciseqtl
ENSG00000119280	ciseqtl
ENSG00000119318	ciseqtl
ENSG00000119414	ciseqtl
ENSG00000119471	ciseqtl
ENSG00000119487	ciseqtl
ENSG00000119508	ciseqtl
ENSG00000119509	ciseqtl
ENSG00000119574	ciseqtl
ENSG00000119599	ciseqtl
ENSG00000119640	ciseqtl
ENSG00000119655	ciseqtl
ENSG00000119684	ciseqtl
ENSG00000119760	ciseqtl
ENSG00000119787	ciseqtl
ENSG00000119812	ciseqtl
ENSG00000119878	ciseqtl
ENSG00000119943	ciseqtl
ENSG00000119965	ciseqtl
ENSG00000120008	ciseqtl
ENSG00000120068	ciseqtl
ENSG00000120162	ciseqtl
ENSG00000120253	ciseqtl
ENSG00000120314	ciseqtl
ENSG00000120328	ciseqtl
ENSG00000120437	ciseqtl
ENSG00000120451	ciseqtl
ENSG00000120539	ciseqtl
ENSG00000120742	ciseqtl
ENSG00000120910	ciseqtl
ENSG00000121067	ciseqtl
ENSG00000121289	ciseqtl
ENSG00000121316	ciseqtl
ENSG00000121350	ciseqtl
ENSG00000121380	ciseqtl
ENSG00000121454	ciseqtl
ENSG00000121716	ciseqtl
ENSG00000121957	ciseqtl
ENSG00000122035	ciseqtl
ENSG00000122085	ciseqtl
ENSG00000122188	ciseqtl
ENSG00000122257	ciseqtl
ENSG00000122335	ciseqtl
ENSG00000122417	ciseqtl
ENSG00000122432	ciseqtl
ENSG00000122481	ciseqtl
ENSG00000122550	ciseqtl
ENSG00000122574	ciseqtl
ENSG00000122678	ciseqtl
ENSG00000122707	ciseqtl
ENSG00000122741	ciseqtl
ENSG00000123095	ciseqtl
ENSG00000123106	ciseqtl
ENSG00000123179	ciseqtl
ENSG00000123200	ciseqtl
ENSG00000123201	ciseqtl
ENSG00000123219	ciseqtl
ENSG00000123384	ciseqtl
ENSG00000123545	ciseqtl
ENSG00000123643	ciseqtl
ENSG00000123836	ciseqtl
ENSG00000124116	ciseqtl
ENSG00000124164	ciseqtl
ENSG00000124193	ciseqtl
ENSG00000124198	ciseqtl
ENSG00000124222	ciseqtl
ENSG00000124275	ciseqtl
ENSG00000124279	ciseqtl
ENSG00000124356	ciseqtl
ENSG00000124406	ciseqtl
ENSG00000124508	ciseqtl
ENSG00000124532	ciseqtl
ENSG00000124570	ciseqtl
ENSG00000124575	ciseqtl
ENSG00000124587	ciseqtl
ENSG00000124721	ciseqtl
ENSG00000124782	ciseqtl
ENSG00000124783	ciseqtl
ENSG00000124786	ciseqtl
ENSG00000124788	ciseqtl
ENSG00000124818	ciseqtl
ENSG00000124831	ciseqtl
ENSG00000124839	ciseqtl
ENSG00000125089	ciseqtl
ENSG00000125124	ciseqtl
ENSG00000125207	ciseqtl
ENSG00000125247	ciseqtl
ENSG00000125388	ciseqtl
ENSG00000125434	ciseqtl
ENSG00000125505	ciseqtl
ENSG00000125618	ciseqtl
ENSG00000125772	ciseqtl
ENSG00000125814	ciseqtl
ENSG00000125827	ciseqtl
ENSG00000125844	ciseqtl
ENSG00000125885	ciseqtl
ENSG00000125945	ciseqtl
ENSG00000126216	ciseqtl
ENSG00000126217	ciseqtl
ENSG00000126246	ciseqtl
ENSG00000126777	ciseqtl
ENSG00000126785	ciseqtl
ENSG00000126804	ciseqtl
ENSG00000127080	ciseqtl
ENSG00000127311	ciseqtl
ENSG00000127399	ciseqtl
ENSG00000127481	ciseqtl
ENSG00000127528	ciseqtl
ENSG00000127603	ciseqtl
ENSG00000127663	ciseqtl
ENSG00000127920	ciseqtl
ENSG00000127952	ciseqtl
ENSG00000128000	ciseqtl
ENSG00000128191	ciseqtl
ENSG00000128218	ciseqtl
ENSG00000128262	ciseqtl
ENSG00000128268	ciseqtl
ENSG00000128294	ciseqtl
ENSG00000128298	ciseqtl
ENSG00000128607	ciseqtl
ENSG00000128626	ciseqtl
ENSG00000128641	ciseqtl
ENSG00000128652	ciseqtl
ENSG00000128829	ciseqtl
ENSG00000128833	ciseqtl
ENSG00000128849	ciseqtl
ENSG00000128928	ciseqtl
ENSG00000129003	ciseqtl
ENSG00000129007	ciseqtl
ENSG00000129128	ciseqtl
ENSG00000129158	ciseqtl
ENSG00000129197	ciseqtl
ENSG00000129226	ciseqtl
ENSG00000129235	ciseqtl
ENSG00000129250	ciseqtl
ENSG00000129925	ciseqtl
ENSG00000130035	ciseqtl
ENSG00000130159	ciseqtl
ENSG00000130167	ciseqtl
ENSG00000130177	ciseqtl
ENSG00000130312	ciseqtl
ENSG00000130348	ciseqtl
ENSG00000130383	ciseqtl
ENSG00000130402	ciseqtl
ENSG00000130810	ciseqtl
ENSG00000130844	ciseqtl
ENSG00000130948	ciseqtl
ENSG00000130958	ciseqtl
ENSG00000131016	ciseqtl
ENSG00000131037	ciseqtl
ENSG00000131143	ciseqtl
ENSG00000131378	ciseqtl
ENSG00000131401	ciseqtl
ENSG00000131558	ciseqtl
ENSG00000131778	ciseqtl
ENSG00000131849	ciseqtl
ENSG00000131876	ciseqtl
ENSG00000131899	ciseqtl
ENSG00000132141	ciseqtl
ENSG00000132199	ciseqtl
ENSG00000132205	ciseqtl
ENSG00000132313	ciseqtl
ENSG00000132321	ciseqtl
ENSG00000132383	ciseqtl
ENSG00000132424	ciseqtl
ENSG00000132507	ciseqtl
ENSG00000132541	ciseqtl
ENSG00000132740	ciseqtl
ENSG00000132849	ciseqtl
ENSG00000132854	ciseqtl
ENSG00000132906	ciseqtl
ENSG00000132932	ciseqtl
ENSG00000132964	ciseqtl
ENSG00000133112	ciseqtl
ENSG00000133302	ciseqtl
ENSG00000133313	ciseqtl
ENSG00000133466	ciseqtl
ENSG00000133488	ciseqtl
ENSG00000133597	ciseqtl
ENSG00000133703	ciseqtl
ENSG00000133706	ciseqtl
ENSG00000133739	ciseqtl
ENSG00000133789	ciseqtl
ENSG00000133800	ciseqtl
ENSG00000133962	ciseqtl
ENSG00000133983	ciseqtl
ENSG00000134020	ciseqtl
ENSG00000134030	ciseqtl
ENSG00000134077	ciseqtl
ENSG00000134108	ciseqtl
ENSG00000134186	ciseqtl
ENSG00000134202	ciseqtl
ENSG00000134215	ciseqtl
ENSG00000134242	ciseqtl
ENSG00000134243	ciseqtl
ENSG00000134324	ciseqtl
ENSG00000134330	ciseqtl
ENSG00000134363	ciseqtl
ENSG00000134369	ciseqtl
ENSG00000134463	ciseqtl
ENSG00000134779	ciseqtl
ENSG00000134809	ciseqtl
ENSG00000134824	ciseqtl
ENSG00000134905	ciseqtl
ENSG00000134962	ciseqtl
ENSG00000135045	ciseqtl
ENSG00000135047	ciseqtl
ENSG00000135052	ciseqtl
ENSG00000135063	ciseqtl
ENSG00000135074	ciseqtl
ENSG00000135269	ciseqtl
ENSG00000135297	ciseqtl
ENSG00000135299	ciseqtl
ENSG00000135318	ciseqtl
ENSG00000135365	ciseqtl
ENSG00000135378	ciseqtl
ENSG00000135414	ciseqtl
ENSG00000135441	ciseqtl
ENSG00000135457	ciseqtl
ENSG00000135476	ciseqtl
ENSG00000135503	ciseqtl
ENSG00000135525	ciseqtl
ENSG00000135535	ciseqtl
ENSG00000135541	ciseqtl
ENSG00000135549	ciseqtl
ENSG00000135597	ciseqtl
ENSG00000135686	ciseqtl
ENSG00000135698	ciseqtl
ENSG00000135778	ciseqtl
ENSG00000135899	ciseqtl
ENSG00000135900	ciseqtl
ENSG00000135929	ciseqtl
ENSG00000135931	ciseqtl
ENSG00000135951	ciseqtl
ENSG00000135972	ciseqtl
ENSG00000136143	ciseqtl
ENSG00000136146	ciseqtl
ENSG00000136238	ciseqtl
ENSG00000136381	ciseqtl
ENSG00000136425	ciseqtl
ENSG00000136689	ciseqtl
ENSG00000136758	ciseqtl
ENSG00000136810	ciseqtl
ENSG00000136816	ciseqtl
ENSG00000136824	ciseqtl
ENSG00000136827	ciseqtl
ENSG00000136861	ciseqtl
ENSG00000136868	ciseqtl
ENSG00000136888	ciseqtl
ENSG00000136986	ciseqtl
ENSG00000137070	ciseqtl
ENSG00000137098	ciseqtl
ENSG00000137161	ciseqtl
ENSG00000137177	ciseqtl
