ident	gene	coefD	pvalD	padjD	coefC	pvalC	padjC	mastfc	alpha	ref_alpha	mu	ref_mu	mean	ref_mean	log2fc
Goblet	MUC5AC	4.625571884	2.0488E-17	2.5162E-14	#N/A	1	1	3.326164208	0.147727273	0	2.740324172	-15.10399472	-0.01863236	-15.10399472	15.08536236
Goblet	PRSS22	3.507280774	1.31746E-15	1.0408E-12	-0.150554762	0.777746426	1	0.084497649	0.164772727	0.00270636	1.30021309	1.739455084	-1.301153215	-6.785461603	5.484308388
Goblet	HOXB13	2.836343153	1.11042E-14	7.84891E-12	0.187580522	0.564553567	1	0.058951767	0.215909091	0.00811908	0.985290019	0.884847814	-1.226138941	-6.056912552	4.830773612
Goblet	ITGA2	2.645939426	7.4819E-10	1.39558E-07	0.020522518	0.944749828	1	0.147151734	0.136363636	0.00541272	1.071341487	1.530071721	-1.803004171	-5.996754738	4.193750567
Goblet	DUOXA2	2.631784997	8.77375E-12	3.10083E-09	1.479215745	0.013371921	0.575592631	0.074679728	0.142045455	0.00811908	3.307990172	1.001747443	0.492439727	-5.940223488	6.432663214
Goblet	MAP3K5	2.346964821	2.99321E-08	3.7569E-06	-0.14467318	0.650588513	1	0.071670923	0.119318182	0.0067659	1.288515639	2.100270203	-1.778474782	-5.105830444	3.327355662
Goblet	C4BPB	2.321678745	1.03687E-08	1.45054E-06	0.363667795	0.366629044	1	0.054690108	0.125	0.00811908	0.974508587	0.741468463	-2.025345485	-6.200009272	4.174663787
Goblet	ITGA6	2.262037172	4.79347E-14	3.06554E-11	0.574460049	0.002947696	0.207387075	0.222457898	0.267045455	0.02165088	1.643213089	0.85501948	-0.261593682	-4.673388024	4.411794342
Goblet	MUC5B	2.256312881	2.28488E-11	7.30619E-09	1.281833293	9.90816E-08	5.54444E-05	0.294109723	0.221590909	0.01488498	2.596366372	0.670824516	0.422360767	-5.397472405	5.819833172
Goblet	DUOX2	2.201885861	2.87805E-10	6.33644E-08	0.834861222	0.058386295	1	0.020413381	0.159090909	0.0135318	2.135271833	1.257800645	-0.516755577	-4.948453502	4.431697926
Goblet	SAMD9L	2.189537019	1.28913E-10	3.09162E-08	-0.128981633	0.59191684	1	0.249918189	0.153409091	0.01488498	1.501364583	2.31416063	-1.203099684	-3.755293246	2.552193562
Goblet	REG4	2.119061985	7.02099E-31	4.7146E-27	1.682052477	2.41193E-14	3.23923E-11	0.584962877	0.619318182	0.143437077	4.608345437	2.874483417	3.917099175	0.073006676	3.844092499
Goblet	SKIL	2.105956272	5.70016E-12	2.12648E-09	0.290428569	0.201135763	1	0.244451751	0.193181818	0.0202977	1.428734098	1.938790192	-0.943171127	-3.683234116	2.740062989
Goblet	CDC25B	2.073553068	1.43004E-09	2.46224E-07	0.124385942	0.594161047	1	0.191050388	0.153409091	0.01488498	1.1250696	1.423679903	-1.579370872	-4.645308767	3.065937896
Goblet	FAM91A1	2.058416202	2.55141E-07	2.22503E-05	0.086350154	0.73549786	1	0.090628314	0.119318182	0.00947226	0.641336612	1.189429623	-2.425583745	-5.530768874	3.105185129
Goblet	CMIP	1.986706785	3.94316E-14	2.64783E-11	0.064395253	0.679149869	1	0.170876742	0.289772727	0.035182679	1.513186478	1.862682368	-0.273784623	-2.965999605	2.692214982
Goblet	ITGAV	1.918890509	1.25713E-09	2.2511E-07	0.305165606	0.090913766	1	0.086694266	0.1875	0.0202977	1.531374184	1.634200927	-0.883601905	-3.987702197	3.104100291
Goblet	SMC5	1.905630056	1.49114E-09	2.53493E-07	-0.085826677	0.658091507	1	0.194359703	0.181818182	0.0202977	1.911762506	2.218077325	-0.547620121	-3.404037726	2.856417605
Goblet	MUC4	1.886925251	1.81994E-22	6.11046E-19	0.194588005	0.026304695	0.847175191	0.17604379	0.698863636	0.220568336	2.43541203	2.345849904	1.91849818	0.16517598	1.7533222
Goblet	F3	1.862827034	2.09058E-13	1.22072E-10	0.547905575	0.015436409	0.622555485	0.554068006	0.25	0.040595399	2.168365817	2.122620755	0.168393157	-2.499696905	2.668090062
Goblet	SLC12A2	1.852913974	2.64595E-09	4.23037E-07	0.222104298	0.328318937	1	0.121690979	0.221590909	0.02300406	1.414955443	1.376829574	-0.759019991	-4.064468348	3.305448357
Goblet	SPRED1	1.848445276	9.13119E-08	9.58061E-06	-0.032172543	0.871266178	1	0.052987257	0.153409091	0.01623816	0.788907577	1.572558148	-1.9155057	-4.371075726	2.455570025
Goblet	CD55	1.847556014	2.06092E-17	2.5162E-14	0.547806493	0.00046772	0.051642523	0.781977654	0.369318182	0.066305819	1.932064579	1.652425088	0.495019106	-2.26211213	2.757131236
Goblet	SEC24D	1.845958963	8.34157E-09	1.2046E-06	0.162929062	0.460093665	1	0.098125532	0.170454545	0.0202977	1.361385016	1.558509864	-1.191078415	-4.063358964	2.872280549
Goblet	SLC30A7	1.842630305	4.70554E-07	3.67415E-05	-0.253304213	0.224002678	1	0.048582687	0.142045455	0.0135318	0.823520256	1.826561091	-1.991915365	-4.380099643	2.388184278
Goblet	VWA1	1.814154782	1.06706E-06	7.02478E-05	0.188812734	0.583520202	1	0.254863985	0.113636364	0.0135318	0.974486472	1.548724266	-2.162854445	-4.657757769	2.494903325
Goblet	TC2N	1.802339529	2.74152E-12	1.12158E-09	-0.030000794	0.861096728	1	0.233976975	0.267045455	0.039242219	1.290607043	1.995447888	-0.614189762	-2.675750163	2.0615604
Goblet	FAM118A	1.802214076	7.39013E-11	1.98499E-08	0.015832777	0.934748002	1	0.222557035	0.221590909	0.031123139	1.867837447	2.307598488	-0.306152526	-2.698012532	2.391860006
Goblet	CLDN12	1.740508368	1.77261E-07	1.68838E-05	-0.025124637	0.903522108	1	0.041424506	0.164772727	0.01894452	1.024652959	1.659473826	-1.576695601	-4.061930413	2.485234813
Goblet	TRIQK	1.726458528	4.02388E-06	0.000202975	-0.297068905	0.224723464	1	0.077559222	0.125	0.0135318	0.468050184	1.897931965	-2.531742521	-4.308769385	1.777026863
Goblet	RP11-747H7.3	1.719233137	3.9887E-07	3.21534E-05	-0.109529128	0.626389124	1	0.029571819	0.153409091	0.01894452	1.71865358	2.161731164	-0.985821851	-3.559870432	2.574048581
Goblet	PLA2G2A	1.678107492	1.57668E-16	1.51249E-13	0.796513436	0.000281479	0.036100157	0.425712194	0.465909091	0.106901218	2.772616143	1.962203591	1.670743401	-1.263358385	2.934101786
Goblet	RIF1	1.663715453	7.1961E-06	0.000316865	-0.297897556	0.187791359	1	0.06398552	0.119318182	0.01488498	1.317031414	2.194064518	-1.749961429	-3.875342052	2.125380623
Goblet	B3GNT6	1.663711224	6.6939E-11	1.8729E-08	-0.287051129	0.067907257	1	0.020974914	0.261363636	0.044654939	1.593318664	2.456437083	-0.342512631	-2.028439681	1.68592705
Goblet	RAPH1	1.650889337	1.35455E-06	8.12124E-05	0.022500398	0.908887991	1	0.027139556	0.147727273	0.01894452	1.350547967	1.487479014	-1.408351257	-4.233840239	2.825488982
Goblet	DIRC2	1.638091426	1.15429E-05	0.00046834	-0.016927052	0.943684803	1	0.048058763	0.113636364	0.01488498	0.98387477	1.451655457	-2.153467202	-4.617352609	2.463885407
Goblet	RAB22A	1.63380231	3.07965E-08	3.81691E-06	-0.0274415	0.872977028	1	0.102816728	0.193181818	0.028416779	0.482026043	1.499126697	-1.889820243	-3.637491021	1.747670779
Goblet	DNAJC10	1.630845995	7.32003E-09	1.08031E-06	0.177211346	0.285619275	1	0.150233602	0.204545455	0.032476319	1.152045259	1.382716809	-1.137389672	-3.561283289	2.423893617
Goblet	ZNF518A	1.608616099	2.44276E-07	2.1583E-05	0.144839376	0.435341791	1	0.107218058	0.170454545	0.02435724	1.354820426	1.439762011	-1.19764265	-3.919138787	2.721496137
