target_id	gene_name	qval	log2fc	final_annotation	direction	final_annotation.y
ENSMUSG00000000037	Scml2	0.034025559	1.613880479	protein_coding	Upregulated	protein_coding
ENSMUSG00000000056	Narf	0.000177812	-1.14251204	protein_coding	Downregulated	protein_coding
ENSMUSG00000000058	Cav2	6.14E-06	2.627065101	protein_coding	Upregulated	protein_coding
ENSMUSG00000000085	Scmh1	1.92E-07	1.019908328	protein_coding	Upregulated	protein_coding
ENSMUSG00000000120	Ngfr	0.001538153	2.133203265	protein_coding	Upregulated	protein_coding
ENSMUSG00000000125	Wnt3	3.73E-62	3.71050327	protein_coding	Upregulated	protein_coding
ENSMUSG00000000126	Wnt9a	9.77E-08	3.587883631	protein_coding	Upregulated	protein_coding
ENSMUSG00000000168	Dlat	1.23E-07	-1.111722629	protein_coding	Downregulated	protein_coding
ENSMUSG00000000202	Btbd17	0.002228677	2.92799265	protein_coding	Upregulated	protein_coding
ENSMUSG00000000204	Slfn4	0.001981571	1.900517376	protein_coding	Upregulated	protein_coding
ENSMUSG00000000214	Th	0.005756291	1.469895462	protein_coding	Upregulated	protein_coding
ENSMUSG00000000253	Gmpr	0.000239026	1.699062626	protein_coding	Upregulated	protein_coding
ENSMUSG00000000296	Tpd52l1	3.29E-17	2.953370709	protein_coding	Upregulated	protein_coding
ENSMUSG00000000308	Ckmt1	6.46E-05	-1.67313543	protein_coding	Downregulated	protein_coding
ENSMUSG00000000394	Gcg	1.48E-08	2.55232741	protein_coding	Upregulated	protein_coding
ENSMUSG00000000402	Egfl6	4.46E-06	3.313701367	protein_coding	Upregulated	protein_coding
ENSMUSG00000000409	Lck	0.022101679	-1.019317337	protein_coding	Downregulated	protein_coding
ENSMUSG00000000416	Cttnbp2	7.54E-05	-2.845874807	protein_coding	Downregulated	protein_coding
ENSMUSG00000000486	Sep-01	0.024617281	1.345634943	protein_coding	Upregulated	protein_coding
ENSMUSG00000000531	Grasp	6.77E-05	1.085054081	protein_coding	Upregulated	protein_coding
ENSMUSG00000000555	Itga5	6.01E-05	-1.231418798	protein_coding	Downregulated	protein_coding
ENSMUSG00000000567	Sox9	0.001063917	1.87690445	protein_coding	Upregulated	protein_coding
ENSMUSG00000000628	Hk2	3.34E-08	1.089465747	protein_coding	Upregulated	protein_coding
ENSMUSG00000000632	Sez6	0.00018727	2.464885027	protein_coding	Upregulated	protein_coding
ENSMUSG00000000673	Haao	5.82E-06	-3.993444305	protein_coding	Downregulated	protein_coding
ENSMUSG00000000690	Hoxb6	2.25E-05	2.467811885	protein_coding	Upregulated	protein_coding
ENSMUSG00000000732	Icosl	5.95E-06	-1.961213755	protein_coding	Downregulated	protein_coding
ENSMUSG00000000791	Il12rb1	0.000450202	-3.333625997	protein_coding	Downregulated	protein_coding
ENSMUSG00000000881	Dlg3	2.44E-05	-1.121753333	protein_coding	Downregulated	protein_coding
ENSMUSG00000000901	Mmp11	0.001261759	1.867343849	protein_coding	Upregulated	protein_coding
ENSMUSG00000000942	Hoxa4	4.13E-05	2.255665162	protein_coding	Upregulated	protein_coding
ENSMUSG00000000958	Slc7a7	1.93E-07	-1.145129119	protein_coding	Downregulated	protein_coding
ENSMUSG00000001023	S100a5	0.023093042	-1.237827245	protein_coding	Downregulated	protein_coding
ENSMUSG00000001025	S100a6	4.58E-16	3.027585758	protein_coding	Upregulated	protein_coding
ENSMUSG00000001039	B9d1	0.001136004	1.296896531	protein_coding	Upregulated	protein_coding
ENSMUSG00000001095	Slc13a2	2.41E-18	-5.408921972	protein_coding	Downregulated	protein_coding
ENSMUSG00000001119	Col6a1	0.035105832	3.140713281	protein_coding	Upregulated	protein_coding
ENSMUSG00000001120	Pcbp3	3.53E-07	2.203278641	protein_coding	Upregulated	protein_coding
ENSMUSG00000001128	Cfp	0.037882578	1.24725307	protein_coding	Upregulated	protein_coding
ENSMUSG00000001225	Slc26a3	5.65E-14	-3.346002134	protein_coding	Downregulated	protein_coding
ENSMUSG00000001227	Sema6b	0.000244193	-1.488263434	protein_coding	Downregulated	protein_coding
ENSMUSG00000001248	Gramd1a	6.30E-10	4.072376638	protein_coding	Upregulated	protein_coding
ENSMUSG00000001270	Ckb	4.02E-05	-1.653310446	protein_coding	Downregulated	protein_coding
ENSMUSG00000001281	Itgb7	9.28E-18	4.102699816	protein_coding	Upregulated	protein_coding
ENSMUSG00000001323	Srr	5.69E-09	-1.547963161	protein_coding	Downregulated	protein_coding
ENSMUSG00000001333	Sync	0.007556553	2.367846993	protein_coding	Upregulated	protein_coding
ENSMUSG00000001348	Acp5	9.85E-10	-1.508045296	protein_coding	Downregulated	protein_coding
ENSMUSG00000001435	Col18a1	7.98E-10	2.203843025	protein_coding	Upregulated	protein_coding
ENSMUSG00000001436	Slc19a1	6.52E-05	-1.040811865	protein_coding	Downregulated	protein_coding
ENSMUSG00000001467	Cyp51	1.43E-10	-1.242716123	protein_coding	Downregulated	protein_coding
ENSMUSG00000001473	Tubb6	2.20E-10	3.088445915	protein_coding	Upregulated	protein_coding
ENSMUSG00000001517	Foxm1	0.000230069	-1.087692971	protein_coding	Downregulated	protein_coding
ENSMUSG00000001566	Mnx1	1.53E-07	-1.464092674	protein_coding	Downregulated	protein_coding
ENSMUSG00000001604	Tcea3	1.40E-18	-2.755118735	protein_coding	Downregulated	protein_coding
ENSMUSG00000001663	Gstt1	3.54E-09	-2.004884799	protein_coding	Downregulated	protein_coding
ENSMUSG00000001665	Gstt3	5.03E-08	-1.093353157	protein_coding	Downregulated	protein_coding
ENSMUSG00000001739	Cldn15	1.58E-05	-1.315207153	protein_coding	Downregulated	protein_coding
