target_id	gene_name	qval	log2fc	final_annotation	direction	final_annotation.y	Mouse Ensembl	Human Ensembl
ENSMUSG00000000037	Scml2	0.034025559	1.613880479	protein_coding	Upregulated	protein_coding	ENSMUSG00000000037	ENSG00000102098
ENSMUSG00000000056	Narf	0.000177812	-1.14251204	protein_coding	Downregulated	protein_coding	ENSMUSG00000000056	ENSG00000141562
ENSMUSG00000000058	Cav2	6.14e-06	2.627065101	protein_coding	Upregulated	protein_coding	ENSMUSG00000000058	ENSG00000105971
ENSMUSG00000000085	Scmh1	1.92e-07	1.0199083279999999	protein_coding	Upregulated	protein_coding	ENSMUSG00000000085	ENSG00000010803
ENSMUSG00000000120	Ngfr	0.0015381529999999998	2.133203265	protein_coding	Upregulated	protein_coding	ENSMUSG00000000120	ENSG00000064300
ENSMUSG00000000125	Wnt3	3.7299999999999995e-62	3.71050327	protein_coding	Upregulated	protein_coding	ENSMUSG00000000125	ENSG00000277641; ENSG00000277626; ENSG00000108379
ENSMUSG00000000126	Wnt9a	9.77e-08	3.5878836310000004	protein_coding	Upregulated	protein_coding	ENSMUSG00000000126	ENSG00000143816
ENSMUSG00000000168	Dlat	1.23e-07	-1.111722629	protein_coding	Downregulated	protein_coding	ENSMUSG00000000168	ENSG00000150768
ENSMUSG00000000202	Btbd17	0.002228677	2.92799265	protein_coding	Upregulated	protein_coding	ENSMUSG00000000202	ENSG00000204347
ENSMUSG00000000204	Slfn4	0.001981571	1.900517376	protein_coding	Upregulated	protein_coding	ENSMUSG00000000204	ENSG00000172123
ENSMUSG00000000204	Slfn4	0.001981571	1.900517376	protein_coding	Upregulated	protein_coding	ENSMUSG00000000204	ENSG00000205045
ENSMUSG00000000214	Th	0.005756291	1.469895462	protein_coding	Upregulated	protein_coding	ENSMUSG00000000214	ENSG00000180176
ENSMUSG00000000253	Gmpr	0.00023902599999999998	1.699062626	protein_coding	Upregulated	protein_coding	ENSMUSG00000000253	ENSG00000137198
ENSMUSG00000000296	Tpd52l1	3.2899999999999996e-17	2.9533707089999996	protein_coding	Upregulated	protein_coding	ENSMUSG00000000296	ENSG00000111907
ENSMUSG00000000308	Ckmt1	6.459999999999998e-05	-1.67313543	protein_coding	Downregulated	protein_coding	ENSMUSG00000000308	ENSG00000237289; ENSG00000223572
ENSMUSG00000000394	Gcg	1.48e-08	2.55232741	protein_coding	Upregulated	protein_coding	ENSMUSG00000000394	ENSG00000115263
ENSMUSG00000000402	Egfl6	4.46e-06	3.3137013669999997	protein_coding	Upregulated	protein_coding	ENSMUSG00000000402	ENSG00000198759
ENSMUSG00000000409	Lck	0.022101679	-1.019317337	protein_coding	Downregulated	protein_coding	ENSMUSG00000000409	ENSG00000182866
ENSMUSG00000000416	Cttnbp2	7.54e-05	-2.845874807	protein_coding	Downregulated	protein_coding	ENSMUSG00000000416	ENSG00000077063
ENSMUSG00000000486	Sep-01	0.024617281	1.345634943	protein_coding	Upregulated	protein_coding	ENSMUSG00000000486	ENSG00000180096
ENSMUSG00000000531	Grasp	6.77e-05	1.085054081	protein_coding	Upregulated	protein_coding	ENSMUSG00000000531	ENSG00000161835
ENSMUSG00000000555	Itga5	6.01e-05	-1.231418798	protein_coding	Downregulated	protein_coding	ENSMUSG00000000555	ENSG00000161638
ENSMUSG00000000567	Sox9	0.001063917	1.87690445	protein_coding	Upregulated	protein_coding	ENSMUSG00000000567	ENSG00000125398
ENSMUSG00000000628	Hk2	3.34e-08	1.089465747	protein_coding	Upregulated	protein_coding	ENSMUSG00000000628	ENSG00000159399
ENSMUSG00000000632	Sez6	0.00018727	2.464885027	protein_coding	Upregulated	protein_coding	ENSMUSG00000000632	ENSG00000063015
ENSMUSG00000000673	Haao	5.82e-06	-3.993444305	protein_coding	Downregulated	protein_coding	ENSMUSG00000000673	ENSG00000162882
ENSMUSG00000000690	Hoxb6	2.25e-05	2.467811885	protein_coding	Upregulated	protein_coding	ENSMUSG00000000690	ENSG00000108511
ENSMUSG00000000732	Icosl	5.95e-06	-1.961213755	protein_coding	Downregulated	protein_coding	ENSMUSG00000000732	ENSG00000160223; ENSG00000277117
ENSMUSG00000000791	Il12rb1	0.00045020199999999997	-3.333625997	protein_coding	Downregulated	protein_coding		
ENSMUSG00000000881	Dlg3	2.44e-05	-1.121753333	protein_coding	Downregulated	protein_coding	ENSMUSG00000000881	ENSG00000082458
ENSMUSG00000000901	Mmp11	0.0012617589999999999	1.867343849	protein_coding	Upregulated	protein_coding	ENSMUSG00000000901	ENSG00000275365; ENSG00000099953
ENSMUSG00000000942	Hoxa4	4.13e-05	2.2556651619999997	protein_coding	Upregulated	protein_coding	ENSMUSG00000000942	ENSG00000197576
ENSMUSG00000000958	Slc7a7	1.93e-07	-1.1451291190000001	protein_coding	Downregulated	protein_coding	ENSMUSG00000000958	ENSG00000155465
ENSMUSG00000001023	S100a5	0.023093042	-1.237827245	protein_coding	Downregulated	protein_coding	ENSMUSG00000001023	ENSG00000196420
ENSMUSG00000001025	S100a6	4.58e-16	3.0275857580000003	protein_coding	Upregulated	protein_coding	ENSMUSG00000001025	ENSG00000197956
ENSMUSG00000001039	B9d1	0.001136004	1.296896531	protein_coding	Upregulated	protein_coding	ENSMUSG00000001039	ENSG00000108641
ENSMUSG00000001095	Slc13a2	2.41e-18	-5.408921972000001	protein_coding	Downregulated	protein_coding	ENSMUSG00000001095	ENSG00000007216
ENSMUSG00000001119	Col6a1	0.035105832000000003	3.140713281	protein_coding	Upregulated	protein_coding	ENSMUSG00000001119	ENSG00000142156
ENSMUSG00000001120	Pcbp3	3.53e-07	2.203278641	protein_coding	Upregulated	protein_coding	ENSMUSG00000001120	ENSG00000183570
ENSMUSG00000001128	Cfp	0.037882578	1.24725307	protein_coding	Upregulated	protein_coding	ENSMUSG00000001128	ENSG00000126759
ENSMUSG00000001225	Slc26a3	5.65e-14	-3.346002134	protein_coding	Downregulated	protein_coding	ENSMUSG00000001225	ENSG00000091138
ENSMUSG00000001227	Sema6b	0.00024419299999999997	-1.488263434	protein_coding	Downregulated	protein_coding	ENSMUSG00000001227	ENSG00000167680
ENSMUSG00000001248	Gramd1a	6.3e-10	4.072376638	protein_coding	Upregulated	protein_coding	ENSMUSG00000001248	ENSG00000089351
ENSMUSG00000001270	Ckb	4.02e-05	-1.6533104459999999	protein_coding	Downregulated	protein_coding	ENSMUSG00000001270	ENSG00000166165
ENSMUSG00000001281	Itgb7	9.28e-18	4.102699816	protein_coding	Upregulated	protein_coding	ENSMUSG00000001281	ENSG00000139626
ENSMUSG00000001323	Srr	5.689999999999999e-09	-1.547963161	protein_coding	Downregulated	protein_coding	ENSMUSG00000001323	ENSG00000167720
ENSMUSG00000001333	Sync	0.007556553000000001	2.367846993	protein_coding	Upregulated	protein_coding	ENSMUSG00000001333	ENSG00000162520
ENSMUSG00000001348	Acp5	9.85e-10	-1.508045296	protein_coding	Downregulated	protein_coding	ENSMUSG00000001348	ENSG00000102575
ENSMUSG00000001435	Col18a1	7.979999999999999e-10	2.203843025	protein_coding	Upregulated	protein_coding	ENSMUSG00000001435	ENSG00000182871
ENSMUSG00000001436	Slc19a1	6.52e-05	-1.040811865	protein_coding	Downregulated	protein_coding	ENSMUSG00000001436	ENSG00000173638
ENSMUSG00000001467	Cyp51	1.43e-10	-1.242716123	protein_coding	Downregulated	protein_coding	ENSMUSG00000001467	ENSG00000001630
ENSMUSG00000001473	Tubb6	2.2e-10	3.088445915	protein_coding	Upregulated	protein_coding	ENSMUSG00000001473	ENSG00000176014
