source	target	interactiontype
eeENSMUSG00000010175	ENSMUSG00000029275	TF-TG
ENSMUSG00000015846	ENSMUSG00000021779	TF-TG
ENSMUSG00000015846	ENSMUSG00000022383	TF-TG
ENSMUSG00000015846	ENSMUSG00000022479	TF-TG
ENSMUSG00000015846	ENSMUSG00000022809	TF-TG
ENSMUSG00000015846	ENSMUSG00000024431	TF-TG
ENSMUSG00000015846	ENSMUSG00000058756	TF-TG
ENSMUSG00000017950	ENSMUSG00000029167	TF-TG
ENSMUSG00000017950	ENSMUSG00000037583	TF-TG
ENSMUSG00000018501	ENSMUSG00000020889	TF-TG
ENSMUSG00000018501	ENSMUSG00000024431	TF-TG
ENSMUSG00000018899	ENSMUSG00000020184	TF-TG
ENSMUSG00000018899	ENSMUSG00000039236	TF-TG
ENSMUSG00000022105	ENSMUSG00000052684	TF-TG
ENSMUSG00000022383	ENSMUSG00000015568	TF-TG
ENSMUSG00000022383	ENSMUSG00000015846	TF-TG
ENSMUSG00000022383	ENSMUSG00000054422	TF-TG
ENSMUSG00000022479	ENSMUSG00000015846	TF-TG
ENSMUSG00000022479	ENSMUSG00000027695	TF-TG
ENSMUSG00000022809	ENSMUSG00000015846	TF-TG
ENSMUSG00000024431	ENSMUSG00000015846	TF-TG
ENSMUSG00000024431	ENSMUSG00000029167	TF-TG
ENSMUSG00000024912	ENSMUSG00000052684	TF-TG
ENSMUSG00000027168	ENSMUSG00000020455	TF-TG
ENSMUSG00000027210	ENSMUSG00000027168	TF-TG
ENSMUSG00000027985	ENSMUSG00000035158	TF-TG
ENSMUSG00000029167	ENSMUSG00000022383	TF-TG
ENSMUSG00000034771	ENSMUSG00000022528	TF-TG
ENSMUSG00000034957	ENSMUSG00000022105	TF-TG
ENSMUSG00000034957	ENSMUSG00000069515	TF-TG
ENSMUSG00000035158	ENSMUSG00000027168	TF-TG
ENSMUSG00000037032	ENSMUSG00000040249	TF-TG
ENSMUSG00000037583	ENSMUSG00000026398	TF-TG
ENSMUSG00000052684	ENSMUSG00000018909	TF-TG
ENSMUSG00000052684	ENSMUSG00000024431	TF-TG
ENSMUSG00000052684	ENSMUSG00000024912	TF-TG
ENSMUSG00000052684	ENSMUSG00000027544	TF-TG
ENSMUSG00000052684	ENSMUSG00000032035	TF-TG
ENSMUSG00000052684	ENSMUSG00000032487	TF-TG
ENSMUSG00000052684	ENSMUSG00000053007	TF-TG
ENSMUSG00000052684	ENSMUSG00000055639	TF-TG
ENSMUSG00000000567	ENSMUSG00000000056	TF-TG
ENSMUSG00000000567	ENSMUSG00000000126	TF-TG
ENSMUSG00000000567	ENSMUSG00000000214	TF-TG
ENSMUSG00000000567	ENSMUSG00000000308	TF-TG
ENSMUSG00000000567	ENSMUSG00000000394	TF-TG
ENSMUSG00000000567	ENSMUSG00000000555	TF-TG
ENSMUSG00000000567	ENSMUSG00000001039	TF-TG
ENSMUSG00000000567	ENSMUSG00000001119	TF-TG
ENSMUSG00000000567	ENSMUSG00000001120	TF-TG
ENSMUSG00000000567	ENSMUSG00000001281	TF-TG
ENSMUSG00000000567	ENSMUSG00000001435	TF-TG
ENSMUSG00000000567	ENSMUSG00000001473	TF-TG
ENSMUSG00000000567	ENSMUSG00000001761	TF-TG
ENSMUSG00000000567	ENSMUSG00000001864	TF-TG
ENSMUSG00000000567	ENSMUSG00000002565	TF-TG
ENSMUSG00000000567	ENSMUSG00000002625	TF-TG
ENSMUSG00000000567	ENSMUSG00000002799	TF-TG
ENSMUSG00000000567	ENSMUSG00000003134	TF-TG
ENSMUSG00000000567	ENSMUSG00000003380	TF-TG
ENSMUSG00000000567	ENSMUSG00000003420	TF-TG
ENSMUSG00000000567	ENSMUSG00000003469	TF-TG
ENSMUSG00000000567	ENSMUSG00000003541	TF-TG
ENSMUSG00000000567	ENSMUSG00000003545	TF-TG
ENSMUSG00000000567	ENSMUSG00000003949	TF-TG
ENSMUSG00000000567	ENSMUSG00000004044	TF-TG
ENSMUSG00000000567	ENSMUSG00000004270	TF-TG
ENSMUSG00000000567	ENSMUSG00000004328	TF-TG
ENSMUSG00000000567	ENSMUSG00000004768	TF-TG
ENSMUSG00000000567	ENSMUSG00000004789	TF-TG
ENSMUSG00000000567	ENSMUSG00000004864	TF-TG
ENSMUSG00000000567	ENSMUSG00000004951	TF-TG
ENSMUSG00000000567	ENSMUSG00000005107	TF-TG
ENSMUSG00000000567	ENSMUSG00000005320	TF-TG
ENSMUSG00000000567	ENSMUSG00000005360	TF-TG
ENSMUSG00000000567	ENSMUSG00000005413	TF-TG
ENSMUSG00000000567	ENSMUSG00000005611	TF-TG
ENSMUSG00000000567	ENSMUSG00000005873	TF-TG
ENSMUSG00000000567	ENSMUSG00000005958	TF-TG
ENSMUSG00000000567	ENSMUSG00000005973	TF-TG
ENSMUSG00000000567	ENSMUSG00000005986	TF-TG
ENSMUSG00000000567	ENSMUSG00000006345	TF-TG
ENSMUSG00000000567	ENSMUSG00000006435	TF-TG
ENSMUSG00000000567	ENSMUSG00000006463	TF-TG
ENSMUSG00000000567	ENSMUSG00000006464	TF-TG
ENSMUSG00000000567	ENSMUSG00000006642	TF-TG
ENSMUSG00000000567	ENSMUSG00000006731	TF-TG
ENSMUSG00000000567	ENSMUSG00000006930	TF-TG
ENSMUSG00000000567	ENSMUSG00000007888	TF-TG
ENSMUSG00000000567	ENSMUSG00000007989	TF-TG
ENSMUSG00000000567	ENSMUSG00000008090	TF-TG
ENSMUSG00000000567	ENSMUSG00000008734	TF-TG
ENSMUSG00000000567	ENSMUSG00000009739	TF-TG
ENSMUSG00000000567	ENSMUSG00000009863	TF-TG
ENSMUSG00000000567	ENSMUSG00000010362	TF-TG
ENSMUSG00000000567	ENSMUSG00000010830	TF-TG
ENSMUSG00000000567	ENSMUSG00000011148	TF-TG
ENSMUSG00000000567	ENSMUSG00000011752	TF-TG
ENSMUSG00000000567	ENSMUSG00000012017	TF-TG
ENSMUSG00000000567	ENSMUSG00000012126	TF-TG
ENSMUSG00000000567	ENSMUSG00000013089	TF-TG
ENSMUSG00000000567	ENSMUSG00000013846	TF-TG
ENSMUSG00000000567	ENSMUSG00000014303	TF-TG
ENSMUSG00000000567	ENSMUSG00000014351	TF-TG
ENSMUSG00000000567	ENSMUSG00000014361	TF-TG
ENSMUSG00000000567	ENSMUSG00000014602	TF-TG
ENSMUSG00000000567	ENSMUSG00000015112	TF-TG
ENSMUSG00000000567	ENSMUSG00000015224	TF-TG
ENSMUSG00000000567	ENSMUSG00000015396	TF-TG
ENSMUSG00000000567	ENSMUSG00000015533	TF-TG
ENSMUSG00000000567	ENSMUSG00000015647	TF-TG
ENSMUSG00000000567	ENSMUSG00000015806	TF-TG
ENSMUSG00000000567	ENSMUSG00000015829	TF-TG
ENSMUSG00000000567	ENSMUSG00000015846	TF-TG
ENSMUSG00000000567	ENSMUSG00000015850	TF-TG
ENSMUSG00000000567	ENSMUSG00000015880	TF-TG
ENSMUSG00000000567	ENSMUSG00000016028	TF-TG
ENSMUSG00000000567	ENSMUSG00000016200	TF-TG
ENSMUSG00000000567	ENSMUSG00000016624	TF-TG
ENSMUSG00000000567	ENSMUSG00000016758	TF-TG
ENSMUSG00000000567	ENSMUSG00000016763	TF-TG
ENSMUSG00000000567	ENSMUSG00000017165	TF-TG
ENSMUSG00000000567	ENSMUSG00000017204	TF-TG
ENSMUSG00000000567	ENSMUSG00000017446	TF-TG
ENSMUSG00000000567	ENSMUSG00000017466	TF-TG
ENSMUSG00000000567	ENSMUSG00000017639	TF-TG
ENSMUSG00000000567	ENSMUSG00000017692	TF-TG
ENSMUSG00000000567	ENSMUSG00000017716	TF-TG
ENSMUSG00000000567	ENSMUSG00000017724	TF-TG
ENSMUSG00000000567	ENSMUSG00000018042	TF-TG
ENSMUSG00000000567	ENSMUSG00000018334	TF-TG
ENSMUSG00000000567	ENSMUSG00000018340	TF-TG
ENSMUSG00000000567	ENSMUSG00000018566	TF-TG
ENSMUSG00000000567	ENSMUSG00000018593	TF-TG
ENSMUSG00000000567	ENSMUSG00000018740	TF-TG
ENSMUSG00000000567	ENSMUSG00000018774	TF-TG
ENSMUSG00000000567	ENSMUSG00000018899	TF-TG
ENSMUSG00000000567	ENSMUSG00000018983	TF-TG
ENSMUSG00000000567	ENSMUSG00000019087	TF-TG
ENSMUSG00000000567	ENSMUSG00000019158	TF-TG
ENSMUSG00000000567	ENSMUSG00000019194	TF-TG
ENSMUSG00000000567	ENSMUSG00000019564	TF-TG
ENSMUSG00000000567	ENSMUSG00000019647	TF-TG
ENSMUSG00000000567	ENSMUSG00000019762	TF-TG
ENSMUSG00000000567	ENSMUSG00000019817	TF-TG
ENSMUSG00000000567	ENSMUSG00000019846	TF-TG
ENSMUSG00000000567	ENSMUSG00000019853	TF-TG
ENSMUSG00000000567	ENSMUSG00000019916	TF-TG
ENSMUSG00000000567	ENSMUSG00000019942	TF-TG
ENSMUSG00000000567	ENSMUSG00000019986	TF-TG
ENSMUSG00000000567	ENSMUSG00000019997	TF-TG
ENSMUSG00000000567	ENSMUSG00000020009	TF-TG
ENSMUSG00000000567	ENSMUSG00000020014	TF-TG
ENSMUSG00000000567	ENSMUSG00000020015	TF-TG
ENSMUSG00000000567	ENSMUSG00000020105	TF-TG
ENSMUSG00000000567	ENSMUSG00000020121	TF-TG
ENSMUSG00000000567	ENSMUSG00000020277	TF-TG
ENSMUSG00000000567	ENSMUSG00000020303	TF-TG
ENSMUSG00000000567	ENSMUSG00000020334	TF-TG
ENSMUSG00000000567	ENSMUSG00000020363	TF-TG
ENSMUSG00000000567	ENSMUSG00000020376	TF-TG
ENSMUSG00000000567	ENSMUSG00000020387	TF-TG
ENSMUSG00000000567	ENSMUSG00000020407	TF-TG
ENSMUSG00000000567	ENSMUSG00000020424	TF-TG
ENSMUSG00000000567	ENSMUSG00000020471	TF-TG
ENSMUSG00000000567	ENSMUSG00000020599	TF-TG
ENSMUSG00000000567	ENSMUSG00000020635	TF-TG
ENSMUSG00000000567	ENSMUSG00000020668	TF-TG
ENSMUSG00000000567	ENSMUSG00000020674	TF-TG
ENSMUSG00000000567	ENSMUSG00000020715	TF-TG
ENSMUSG00000000567	ENSMUSG00000020741	TF-TG
ENSMUSG00000000567	ENSMUSG00000020747	TF-TG
ENSMUSG00000000567	ENSMUSG00000020838	TF-TG
ENSMUSG00000000567	ENSMUSG00000020846	TF-TG
ENSMUSG00000000567	ENSMUSG00000020872	TF-TG
ENSMUSG00000000567	ENSMUSG00000020889	TF-TG
ENSMUSG00000000567	ENSMUSG00000020892	TF-TG
ENSMUSG00000000567	ENSMUSG00000020894	TF-TG
ENSMUSG00000000567	ENSMUSG00000020897	TF-TG
ENSMUSG00000000567	ENSMUSG00000020978	TF-TG
ENSMUSG00000000567	ENSMUSG00000021094	TF-TG
ENSMUSG00000000567	ENSMUSG00000021108	TF-TG
ENSMUSG00000000567	ENSMUSG00000021185	TF-TG
ENSMUSG00000000567	ENSMUSG00000021194	TF-TG
