source	target	interactiontype
ENSMUSG00000034957	ENSMUSG00000069515	TF-TG
ENSMUSG00000000567	ENSMUSG00000008090	TF-TG
ENSMUSG00000000567	ENSMUSG00000028749	TF-TG
ENSMUSG00000000567	ENSMUSG00000030087	TF-TG
ENSMUSG00000000567	ENSMUSG00000030772	TF-TG
ENSMUSG00000000567	ENSMUSG00000041548	TF-TG
ENSMUSG00000000567	ENSMUSG00000044468	TF-TG
ENSMUSG00000000567	ENSMUSG00000044748	TF-TG
ENSMUSG00000000567	ENSMUSG00000049551	TF-TG
ENSMUSG00000000567	ENSMUSG00000060487	TF-TG
ENSMUSG00000003545	ENSMUSG00000025091	TF-TG
ENSMUSG00000003949	ENSMUSG00000069515	TF-TG
ENSMUSG00000015846	ENSMUSG00000001333	TF-TG
ENSMUSG00000015846	ENSMUSG00000003436	TF-TG
ENSMUSG00000015846	ENSMUSG00000004709	TF-TG
ENSMUSG00000015846	ENSMUSG00000008090	TF-TG
ENSMUSG00000015846	ENSMUSG00000018672	TF-TG
ENSMUSG00000015846	ENSMUSG00000024225	TF-TG
ENSMUSG00000015846	ENSMUSG00000025075	TF-TG
ENSMUSG00000015846	ENSMUSG00000025091	TF-TG
ENSMUSG00000015846	ENSMUSG00000027876	TF-TG
ENSMUSG00000015846	ENSMUSG00000028749	TF-TG
ENSMUSG00000015846	ENSMUSG00000028836	TF-TG
ENSMUSG00000015846	ENSMUSG00000030087	TF-TG
ENSMUSG00000015846	ENSMUSG00000030772	TF-TG
ENSMUSG00000015846	ENSMUSG00000035967	TF-TG
ENSMUSG00000015846	ENSMUSG00000040152	TF-TG
ENSMUSG00000015846	ENSMUSG00000041548	TF-TG
ENSMUSG00000015846	ENSMUSG00000042179	TF-TG
ENSMUSG00000015846	ENSMUSG00000044468	TF-TG
ENSMUSG00000015846	ENSMUSG00000044748	TF-TG
ENSMUSG00000015846	ENSMUSG00000049551	TF-TG
ENSMUSG00000015846	ENSMUSG00000060429	TF-TG
ENSMUSG00000015846	ENSMUSG00000060487	TF-TG
ENSMUSG00000015846	ENSMUSG00000060615	TF-TG
ENSMUSG00000015846	ENSMUSG00000069515	TF-TG
ENSMUSG00000015846	ENSMUSG00000074447	TF-TG
ENSMUSG00000015846	ENSMUSG00000079471	TF-TG
ENSMUSG00000017724	ENSMUSG00000018623	TF-TG
ENSMUSG00000017950	ENSMUSG00000004709	TF-TG
ENSMUSG00000017950	ENSMUSG00000008090	TF-TG
ENSMUSG00000017950	ENSMUSG00000024225	TF-TG
ENSMUSG00000017950	ENSMUSG00000025075	TF-TG
ENSMUSG00000017950	ENSMUSG00000025091	TF-TG
ENSMUSG00000017950	ENSMUSG00000041548	TF-TG
ENSMUSG00000017950	ENSMUSG00000042179	TF-TG
ENSMUSG00000017950	ENSMUSG00000044748	TF-TG
ENSMUSG00000017950	ENSMUSG00000079471	TF-TG
ENSMUSG00000018143	ENSMUSG00000041548	TF-TG
ENSMUSG00000018501	ENSMUSG00000004709	TF-TG
ENSMUSG00000018501	ENSMUSG00000069515	TF-TG
ENSMUSG00000018501	ENSMUSG00000079471	TF-TG
ENSMUSG00000018899	ENSMUSG00000004709	TF-TG
ENSMUSG00000018899	ENSMUSG00000008090	TF-TG
ENSMUSG00000018899	ENSMUSG00000028749	TF-TG
ENSMUSG00000018899	ENSMUSG00000060429	TF-TG
ENSMUSG00000018899	ENSMUSG00000069515	TF-TG
ENSMUSG00000018899	ENSMUSG00000079471	TF-TG
ENSMUSG00000019878	ENSMUSG00000028836	TF-TG
ENSMUSG00000019982	ENSMUSG00000028836	TF-TG
ENSMUSG00000020889	ENSMUSG00000003436	TF-TG
ENSMUSG00000020889	ENSMUSG00000004709	TF-TG
ENSMUSG00000020889	ENSMUSG00000008090	TF-TG
ENSMUSG00000020889	ENSMUSG00000018672	TF-TG
ENSMUSG00000020889	ENSMUSG00000024225	TF-TG
ENSMUSG00000020889	ENSMUSG00000025075	TF-TG
ENSMUSG00000020889	ENSMUSG00000025091	TF-TG
ENSMUSG00000020889	ENSMUSG00000027876	TF-TG
ENSMUSG00000020889	ENSMUSG00000028749	TF-TG
ENSMUSG00000020889	ENSMUSG00000030087	TF-TG
ENSMUSG00000020889	ENSMUSG00000030772	TF-TG
ENSMUSG00000020889	ENSMUSG00000035967	TF-TG
ENSMUSG00000020889	ENSMUSG00000038209	TF-TG
ENSMUSG00000020889	ENSMUSG00000040152	TF-TG
ENSMUSG00000020889	ENSMUSG00000041548	TF-TG
ENSMUSG00000020889	ENSMUSG00000042179	TF-TG
ENSMUSG00000020889	ENSMUSG00000044468	TF-TG
ENSMUSG00000020889	ENSMUSG00000049551	TF-TG
ENSMUSG00000020889	ENSMUSG00000060429	TF-TG
ENSMUSG00000020889	ENSMUSG00000060487	TF-TG
ENSMUSG00000020889	ENSMUSG00000060615	TF-TG
ENSMUSG00000020889	ENSMUSG00000069515	TF-TG
ENSMUSG00000020889	ENSMUSG00000074447	TF-TG
ENSMUSG00000020889	ENSMUSG00000079180	TF-TG
ENSMUSG00000020889	ENSMUSG00000079471	TF-TG
ENSMUSG00000021944	ENSMUSG00000004709	TF-TG
ENSMUSG00000021944	ENSMUSG00000024225	TF-TG
ENSMUSG00000022383	ENSMUSG00000004709	TF-TG
ENSMUSG00000022383	ENSMUSG00000018672	TF-TG
ENSMUSG00000022383	ENSMUSG00000024225	TF-TG
ENSMUSG00000022383	ENSMUSG00000025075	TF-TG
ENSMUSG00000022383	ENSMUSG00000030087	TF-TG
ENSMUSG00000022383	ENSMUSG00000030772	TF-TG
ENSMUSG00000022383	ENSMUSG00000040152	TF-TG
