Human Uniprot	Human Ensembl	Mouse Uniprot	Mouse Ensembl
Q7Z2K6	ENSG00000099219	Q3UVK0	ENSMUSG00000046324
Q5TF58	ENSG00000169991	Q8R2V2	ENSMUSG00000041025
Q71UI9	ENSG00000105968	Q3THW5	ENSMUSG00000041126
P35030	ENSG00000010438	Q792Y9	ENSMUSG00000058119
Q9ULF5	ENSG00000196950	Q6P5F6	ENSMUSG00000025986
Q9C0I9	ENSG00000148814	Q80YS5	ENSMUSG00000015980; ENSMUSG00000111011
O43172	ENSG00000136875	Q9DAW6	ENSMUSG00000066148
Q8NEA4	ENSG00000153832	Q9CQ24	ENSMUSG00000073633
Q9H0E2	ENSG00000078902	Q9QZ06	ENSMUSG00000025139
O60518	ENSG00000137040	Q8BIV3	ENSMUSG00000074909
Q96N16	ENSG00000152969	Q8BVL9	ENSMUSG00000063646
P04083	ENSG00000135046	P10107	ENSMUSG00000024659
Q14626	ENSG00000137070	P70225	ENSMUSG00000073876; ENSMUSG00000078735; ENSMUSG00000095456; ENSMUSG00000095623
H3BVH4	-	E9Q1C8	ENSMUSG00000071302
Q96T88	ENSG00000276043	Q8VDF2	ENSMUSG00000001228
Q99932	ENSG00000137098	Q3V0Q6	ENSMUSG00000066196
Q96PR1	ENSG00000166006	Q14B80	ENSMUSG00000035681
P56373	ENSG00000109991	Q3UR32	ENSMUSG00000027071
O00232	ENSG00000197170	Q9D8W5	ENSMUSG00000020720
Q5SRE5	ENSG00000095319	Q6ZQH8	ENSMUSG00000052533
Q6ZRI6	ENSG00000167173	Q3TEI4	ENSMUSG00000032300
Q5JWF2	ENSG00000087460	Q6R0H7	ENSMUSG00000027523
Q13011	ENSG00000282853; ENSG00000104823	O35459	ENSMUSG00000053898
Q9HCJ2	ENSG00000148948	Q8C031	ENSMUSG00000050587
Q96NL8	ENSG00000156172	Q3UJP5	ENSMUSG00000059482
P10398	ENSG00000078061	P04627	ENSMUSG00000001127
P49674	ENSG00000213923; ENSG00000283900	Q9JMK2	ENSMUSG00000022433
P14625	ENSG00000166598	P08113	ENSMUSG00000020048
Q8IYM0	ENSG00000135436	D3Z420	ENSMUSG00000078907
O95178	ENSG00000090266	Q9CPU2	ENSMUSG00000002416
P30872	ENSG00000139874	P30873	ENSMUSG00000035431
Q13093	ENSG00000146070	Q60963	ENSMUSG00000023913
P23760	ENSG00000135903	P24610	ENSMUSG00000004872
Q9P0N5	ENSG00000187049	Q9CQC4	ENSMUSG00000024667
Q9HCQ7	ENSG00000105954	Q9ESQ8	ENSMUSG00000029831
Q8WXH4	ENSG00000165192	Q9CQ31	ENSMUSG00000031382
O00505	ENSG00000102753	O35344	ENSMUSG00000021929
P34932	ENSG00000170606	Q61316	ENSMUSG00000020361
Q9Y261	ENSG00000125798	P35583	ENSMUSG00000037025
Q9UGI6	ENSG00000143603	P58391	ENSMUSG00000000794
Q6W0C5	ENSG00000187569	Q8QZY3	ENSMUSG00000046323
Q9BQ95	ENSG00000130159	Q9QZH6	ENSMUSG00000066839
O00170	ENSG00000110711	O08915	ENSMUSG00000097319; ENSMUSG00000024847
Q68D10	ENSG00000179119	Q68FG3	ENSMUSG00000049516
P50225	ENSG00000196502	P52840	ENSMUSG00000030711
