Human.Uniprot	Human.Ensembl	Mouse.Uniprot	Mouse.Ensembl	Hum.gene.syb
Q7Z2K6	ENSG00000099219	Q3UVK0	ENSMUSG00000046324	ERMP1
Q5TF58	ENSG00000169991	Q8R2V2	ENSMUSG00000041025	IFFO2
Q71UI9	ENSG00000105968	Q3THW5	ENSMUSG00000041126	H2AFV
P35030	ENSG00000010438	Q792Y9	ENSMUSG00000058119	PRSS3
Q9ULF5	ENSG00000196950	Q6P5F6	ENSMUSG00000025986	SLC39A10
Q9C0I9	ENSG00000148814	Q80YS5	ENSMUSG00000015980	LRRC27
Q9C0I9	ENSG00000148814	Q80YS5	ENSMUSG00000111011	LRRC27
O43172	ENSG00000136875	Q9DAW6	ENSMUSG00000066148	PRPF4
Q8NEA4	ENSG00000153832	Q9CQ24	ENSMUSG00000073633	FBXO36
Q9H0E2	ENSG00000078902	Q9QZ06	ENSMUSG00000025139	TOLLIP
O60518	ENSG00000137040	Q8BIV3	ENSMUSG00000074909	RANBP6
Q96N16	ENSG00000152969	Q8BVL9	ENSMUSG00000063646	JAKMIP1
P04083	ENSG00000135046	P10107	ENSMUSG00000024659	ANXA1
Q14626	ENSG00000137070	P70225	ENSMUSG00000073876	IL11RA
Q14626	ENSG00000137070	P70225	ENSMUSG00000078735	IL11RA
Q14626	ENSG00000137070	P70225	ENSMUSG00000095456	IL11RA
Q14626	ENSG00000137070	P70225	ENSMUSG00000095623	IL11RA
H3BVH4	-	E9Q1C8	ENSMUSG00000071302	-
Q96T88	ENSG00000276043	Q8VDF2	ENSMUSG00000001228	UHRF1
Q99932	ENSG00000137098	Q3V0Q6	ENSMUSG00000066196	SPAG8
Q96PR1	ENSG00000166006	Q14B80	ENSMUSG00000035681	KCNC2
P56373	ENSG00000109991	Q3UR32	ENSMUSG00000027071	P2RX3
O00232	ENSG00000197170	Q9D8W5	ENSMUSG00000020720	PSMD12
Q5SRE5	ENSG00000095319	Q6ZQH8	ENSMUSG00000052533	NUP188
Q6ZRI6	ENSG00000167173	Q3TEI4	ENSMUSG00000032300	C15orf39
Q5JWF2	ENSG00000087460	Q6R0H7	ENSMUSG00000027523	GNAS
Q13011	ENSG00000282853	O35459	ENSMUSG00000053898	ECH1
Q13011	ENSG00000104823	O35459	ENSMUSG00000053898	ECH1
Q9HCJ2	ENSG00000148948	Q8C031	ENSMUSG00000050587	LRRC4C
Q96NL8	ENSG00000156172	Q3UJP5	ENSMUSG00000059482	C8orf37
P10398	ENSG00000078061	P04627	ENSMUSG00000001127	ARAF
P49674	ENSG00000213923	Q9JMK2	ENSMUSG00000022433	CSNK1E
P49674	ENSG00000283900	Q9JMK2	ENSMUSG00000022433	CSNK1E
P14625	ENSG00000166598	P08113	ENSMUSG00000020048	HSP90B1
Q8IYM0	ENSG00000135436	D3Z420	ENSMUSG00000078907	FAM186B
O95178	ENSG00000090266	Q9CPU2	ENSMUSG00000002416	NDUFB2
P30872	ENSG00000139874	P30873	ENSMUSG00000035431	SSTR1
Q13093	ENSG00000146070	Q60963	ENSMUSG00000023913	PLA2G7
P23760	ENSG00000135903	P24610	ENSMUSG00000004872	PAX3
Q9P0N5	ENSG00000187049	Q9CQC4	ENSMUSG00000024667	TMEM216
Q9HCQ7	ENSG00000105954	Q9ESQ8	ENSMUSG00000029831	NPVF
Q8WXH4	ENSG00000165192	Q9CQ31	ENSMUSG00000031382	ASB11
O00505	ENSG00000102753	O35344	ENSMUSG00000021929	KPNA3
P34932	ENSG00000170606	Q61316	ENSMUSG00000020361	HSPA4
Q9Y261	ENSG00000125798	P35583	ENSMUSG00000037025	FOXA2
Q9UGI6	ENSG00000143603	P58391	ENSMUSG00000000794	KCNN3
Q6W0C5	ENSG00000187569	Q8QZY3	ENSMUSG00000046323	DPPA3
Q9BQ95	ENSG00000130159	Q9QZH6	ENSMUSG00000066839	ECSIT
O00170	ENSG00000110711	O08915	ENSMUSG00000097319	AIP
O00170	ENSG00000110711	O08915	ENSMUSG00000024847	AIP
Q68D10	ENSG00000179119	Q68FG3	ENSMUSG00000049516	SPTY2D1
P50225	ENSG00000196502	P52840	ENSMUSG00000030711	SULT1A1
Q9GZU2	ENSG00000198300	Q3URU2	ENSMUSG00000002265	PEG3
Q5MCW4	ENSG00000196437	Q80W31	ENSMUSG00000059975	ZNF569
Q86WS3	ENSG00000149507	Q4FZG8	ENSMUSG00000055895	OOSP2
Q15390	ENSG00000066855	Q99MB2	ENSMUSG00000027601	MTFR1
O43280	ENSG00000118094	Q9JLT2	ENSMUSG00000032098	TREH
P0C7X2	ENSG00000229809	E9Q5M9	ENSMUSG00000045251	ZNF688
P49810	ENSG00000143801	Q61144	ENSMUSG00000010609	PSEN2
Q8NA82	ENSG00000173838	E9PX79	ENSMUSG00000078627	Mar-10
Q13477	ENSG00000099866	Q61826	ENSMUSG00000020310	MADCAM1
Q8TAM2	ENSG00000165533	Q8VD72	ENSMUSG00000021013	TTC8
Q8IWT6	ENSG00000136802	Q80WG5	ENSMUSG00000007476	LRRC8A
Q92610	ENSG00000166716	Q8BHZ4	ENSMUSG00000005621	ZNF592
Q6ZTI6	ENSG00000178882	Q7TS73	ENSMUSG00000037962	RFLNA
Q7RTX9	ENSG00000163053	Q8K1C7	ENSMUSG00000026220	SLC16A14
Q5HYL7	ENSG00000173452	D3YWQ9	ENSMUSG00000048004	TMEM196
Q8NH51	ENSG00000280314	Q7TR63	ENSMUSG00000075174	OR8K3
Q8NH51	ENSG00000262755	Q7TR63	ENSMUSG00000075174	OR8K3
P08758	ENSG00000164111	P48036	ENSMUSG00000027712	ANXA5
Q8IYI0	ENSG00000171984	Q9D112	ENSMUSG00000044991	C20orf196
Q8NB14	ENSG00000170185	Q8BW70	ENSMUSG00000038250	USP38
P01567	ENSG00000214042	P01572	ENSMUSG00000095498	IFNA7
Q8NDZ6	ENSG00000164180	Q8C2L6	ENSMUSG00000035762	TMEM161B
Q9BQ24	ENSG00000100711	Q8VCM3	ENSMUSG00000021286	ZFYVE21
Q92558	ENSG00000112290	Q8R5H6	ENSMUSG00000019831	WASF1
Q16651	ENSG00000052344	Q9ESD1	ENSMUSG00000030800	PRSS8
P39060	ENSG00000182871	P39061	ENSMUSG00000001435	COL18A1
P02042	ENSG00000223609	P02088	ENSMUSG00000052305	HBD
P02042	ENSG00000223609	P02088	ENSMUSG00000073940	HBD
Q16667	ENSG00000100526	Q810P3	ENSMUSG00000037628	CDKN3
O43679	ENSG00000169744	O55203	ENSMUSG00000039706	LDB2
Q8TF05	ENSG00000154845	Q8K2V1	ENSMUSG00000061950	PPP4R1
Q8NBD8	ENSG00000198133	F2Z3Z2	-	TMEM229B
Q92636	ENSG00000035681	O35242	ENSMUSG00000028245	NSMAF
Q6ICI0	ENSG00000206069	Q3UUA0	ENSMUSG00000066964	TMEM211
Q9BYE2	ENSG00000137747	Q5U405	ENSMUSG00000061184	TMPRSS13
Q96SK2	ENSG00000146842	Q8BRG8	ENSMUSG00000029782	TMEM209
Q96HU1	ENSG00000100359	Q8VCZ6	ENSMUSG00000042303	SGSM3
P29972	ENSG00000240583	Q02013	ENSMUSG00000004655	AQP1
P48549	ENSG00000162989	P63250	ENSMUSG00000026824	KCNJ3
Q99623	ENSG00000215021	O35129	ENSMUSG00000004264	PHB2
P86790	ENSG00000122674	Q8C1Y8	ENSMUSG00000029617	CCZ1B
P86790	ENSG00000146574	Q8C1Y8	ENSMUSG00000029617	CCZ1B
O95988	ENSG00000213231	P56845	ENSMUSG00000000701	TCL1B
P31271	ENSG00000106031	Q62424	ENSMUSG00000038203	HOXA13
P63104	ENSG00000164924	P63101	ENSMUSG00000022285	YWHAZ
O75602	ENSG00000077327	Q9JLI7	ENSMUSG00000022783	SPAG6
P51170	ENSG00000166828	Q9WU39	ENSMUSG00000000216	SCNN1G
O95600	ENSG00000102349	Q8BLM0	ENSMUSG00000041649	KLF8
P22695	ENSG00000140740	Q9DB77	ENSMUSG00000030884	UQCRC2
P22695	ENSG00000284493	Q9DB77	ENSMUSG00000030884	UQCRC2
Q56A73	ENSG00000186767	Q8K1L2	ENSMUSG00000071722	SPIN4
O75419	ENSG00000093009	Q9Z1X9	ENSMUSG00000000028	CDC45
Q86W34	ENSG00000196704	Q400C8	ENSMUSG00000020610	AMZ2
Q68CQ4	ENSG00000117597	Q8BTT6	ENSMUSG00000016181	DIEXF
Q8NGR5	ENSG00000136939	Q8VFT2	ENSMUSG00000059429	OR1L4
P04156	ENSG00000171867	P04925	ENSMUSG00000079037	PRNP
Q8N9T8	ENSG00000129347	Q8VDQ9	ENSMUSG00000035047	KRI1
Q8NHH9	ENSG00000119787	Q6PA06	ENSMUSG00000059811	ATL2
O14950	ENSG00000101608	Q3THE2	ENSMUSG00000034868	MYL12B
O14950	ENSG00000118680	Q3THE2	ENSMUSG00000034868	MYL12B
Q9NPD5	ENSG00000111700	Q9JJL3	ENSMUSG00000030236	SLCO1B3
P62714	ENSG00000104695	P62715	ENSMUSG00000009630	PPP2CB
Q9Y572	ENSG00000129465	Q9QZL0	ENSMUSG00000022221	RIPK3
Q08AH1	ENSG00000166743	Q91VA0	ENSMUSG00000033533	ACSM1
Q07960	ENSG00000175220	Q5FWK3	ENSMUSG00000027247	ARHGAP1
Q9P0J1	ENSG00000164951	Q3UV70	ENSMUSG00000049225	PDP1
Q96HV5	ENSG00000163900	Q9D8U2	ENSMUSG00000022856	TMEM41A
O60292	ENSG00000105738	G3X9J0	ENSMUSG00000030583	SIPA1L3
Q8WW12	ENSG00000081154	Q6P8I4	ENSMUSG00000071533	PCNP
